FRAME,DIHEDROS
455,-132.207
456,-107.999
457,-121.208
458,-89.761
459,-148.146
460,-133.697
461,-117.06
462,-120.0
463,-126.421
464,-125.32
465,-103.897
466,-143.699
467,-122.867
468,-133.181
469,-130.543
470,-118.495
471,-132.672
472,-134.431
473,-142.365
474,-108.258
475,-111.424
476,-120.009
477,-116.839
478,-132.991
479,-138.324
480,-115.151
481,-120.428
482,-101.749
483,-150.262
484,-143.508
485,-132.36
486,-109.219
487,-140.165
488,-124.18
489,-139.67
490,-121.604
491,-130.831
492,-125.586
493,-118.291
494,-123.42
495,-122.521
496,-114.851
497,-123.151
498,-121.348
499,-123.007
500,-126.546
501,-123.008
502,-132.379
503,-148.484
504,-113.811
505,-129.678
506,-122.037
507,-117.803
508,-120.385
509,-130.818
510,-120.285
511,-126.699
512,-123.3
513,-119.856
514,-139.47
515,-144.746
516,-128.147
517,-107.699
518,-121.277
519,-119.547
520,-120.223
521,-129.208
522,-113.922
523,-131.846
524,-109.89
525,-128.46
526,-136.28
527,-123.089
528,-136.004
529,-137.169
530,-132.062
531,-109.776
532,-125.942
533,-129.371
534,-115.257
535,-125.884
536,-120.565
537,-124.874
538,-129.696
539,-142.858
540,-95.774
541,-118.076
542,-116.815
543,-124.031
544,-131.623
545,-135.538
546,-127.983
547,-108.059
548,-104.593
549,-129.498
550,-144.325
551,-120.23
552,-124.192
553,-113.367
554,-106.966
555,-122.664
556,-135.564
557,-140.824
558,-118.551
559,-120.451
560,-139.001
561,-108.8
562,-123.672
563,-120.662
564,-135.055
565,-129.069
566,-116.273
567,-118.484
568,-106.801
569,-111.364
570,-94.876
571,-113.144
572,-123.724
573,-129.256
574,-139.197
575,-129.75
576,-125.974
577,-127.142
578,-135.383
579,-113.201
580,-125.286
581,-121.463
582,-103.573
583,-122.653
584,-118.573
585,-113.664
586,-129.495
587,-110.005
588,-105.61
589,-108.046
590,-128.112
591,-116.451
592,-129.141
593,-132.683
594,-115.045
595,-129.899
596,-115.609
597,-114.427
598,-118.922
599,-126.979
600,-120.399
601,-107.838
602,-112.783
603,-107.602
604,-125.553
605,-136.968
606,-127.345
607,-119.508
608,-110.759
609,-115.031
610,-118.903
611,-120.475
612,-126.152
613,-125.609
614,-127.411
615,-112.518
616,-121.016
617,-131.45
618,-130.233
619,-140.785
620,-112.551
621,-118.621
622,-113.825
623,-116.284
624,-112.871
625,-112.017
626,-143.663
627,-137.345
628,-106.029
629,-115.686
630,-117.808
631,-121.391
632,-109.5
633,-112.46
634,-119.876
635,-124.448
636,-127.621
637,-102.3
638,-120.911
639,-119.326
640,-113.839
641,-102.866
642,-113.364
643,-129.588
644,-138.674
645,-122.826
646,-89.891
647,-108.41
648,-113.612
649,-111.92
650,-122.591
651,-97.864
652,-144.614
653,-97.728
654,-121.729
655,-130.113
656,-136.721
657,-127.297
658,-114.99
659,-119.1
660,-116.724
661,-114.045
662,-129.735
663,-128.044
664,-121.504
665,-116.219
666,-124.587
667,-120.296
668,-118.37
669,-106.577
670,-118.8
671,-115.698
672,-111.995
673,-112.283
674,-122.296
675,-117.392
676,-98.682
677,-122.013
678,-127.64
679,-109.981
680,-134.138
681,-124.686
682,-121.139
683,-116.022
684,-115.345
685,-90.332
686,-106.964
687,-116.954
688,-111.813
689,-109.804
690,-125.069
691,-107.713
692,-114.728
693,-122.343
694,-125.883
695,-97.464
696,-116.192
697,-116.663
698,-113.794
699,-112.581
700,-104.628
701,-126.647
702,-113.126
703,-127.212
704,-124.702
705,-111.991
706,-105.284
707,-127.198
708,-135.439
709,-102.893
710,-120.84
711,-123.592
712,-123.187
713,-113.953
714,-117.045
715,-107.515
716,-125.519
717,-122.297
718,-113.453
719,-112.249
720,-115.194
721,-139.557
722,-126.416
723,-111.909
724,-113.848
725,-116.989
726,-116.888
727,-125.393
728,-138.411
