FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
0,YES,2.018,YES,1.769,3.371,-5.44,NO,3.595,YES,2.84,82.133,GAUCHE,-137.994,-85.344,-121.692,WT_Dimer_validated_mini00000.yob
1,YES,1.923,YES,1.766,2.988,-5.44,NO,3.621,YES,2.962,72.157,GAUCHE,-150.347,-79.229,-128.143,WT_Dimer_validated_mini00001.yob
2,YES,1.844,YES,1.878,2.968,-5.44,YES,3.367,YES,3.0,74.998,GAUCHE,-134.031,-79.169,-130.381,WT_Dimer_validated_mini00002.yob
3,YES,2.351,YES,1.65,3.43,-5.44,NO,3.714,YES,2.877,77.215,GAUCHE,-135.689,-89.64,-141.829,WT_Dimer_validated_mini00003.yob
4,YES,1.817,YES,1.803,3.241,-5.44,NO,3.773,YES,3.097,93.268,UNDEFINED,-144.136,-85.75,-131.729,WT_Dimer_validated_mini00004.yob
5,YES,2.022,YES,1.898,3.274,-5.44,NO,3.713,YES,2.792,63.348,GAUCHE,-142.296,-79.283,-125.697,WT_Dimer_validated_mini00005.yob
6,YES,2.083,YES,1.921,3.326,-5.44,NO,3.79,YES,2.892,64.691,GAUCHE,-147.026,-93.97,-137.827,WT_Dimer_validated_mini00006.yob
7,YES,2.094,YES,1.658,3.555,-5.44,NO,4.275,YES,2.664,66.398,GAUCHE,-155.994,-95.108,-126.528,WT_Dimer_validated_mini00007.yob
8,NO,2.372,YES,1.82,4.115,-5.44,NO,5.141,YES,2.9,77.896,GAUCHE,-154.772,-79.974,-125.728,WT_Dimer_validated_mini00008.yob
9,NO,3.273,YES,1.647,3.515,-5.44,NO,4.574,NO,3.035,48.37,UNDEFINED,-170.283,-76.101,-117.214,WT_Dimer_validated_mini00009.yob
10,YES,2.128,YES,1.777,3.544,-5.44,NO,4.676,YES,2.652,58.811,GAUCHE,-145.292,-76.72,-141.977,WT_Dimer_validated_mini00010.yob
11,YES,2.222,YES,1.658,3.284,-5.44,NO,3.622,YES,2.858,56.9,GAUCHE,-163.822,-76.873,-123.5,WT_Dimer_validated_mini00011.yob
12,YES,1.859,YES,1.903,3.196,-5.44,NO,3.771,YES,2.931,49.918,UNDEFINED,-154.428,-81.95,-130.768,WT_Dimer_validated_mini00012.yob
13,YES,1.937,YES,1.67,3.405,-5.44,NO,3.771,YES,2.833,52.731,GAUCHE,-145.203,-85.117,-121.962,WT_Dimer_validated_mini00013.yob
14,NO,2.63,YES,1.706,3.453,-5.44,NO,4.027,YES,3.058,52.479,GAUCHE,-160.862,-78.68,-123.426,WT_Dimer_validated_mini00014.yob
15,NO,2.217,YES,1.755,3.204,-5.44,NO,3.752,YES,2.848,50.895,GAUCHE,-163.685,-77.082,-111.828,WT_Dimer_validated_mini00015.yob
16,YES,2.211,YES,1.792,3.171,-5.44,NO,3.88,YES,2.877,57.645,GAUCHE,-131.171,-68.415,-140.085,WT_Dimer_validated_mini00016.yob
17,NO,2.388,YES,1.841,3.783,-5.44,NO,4.78,NO,3.554,45.645,UNDEFINED,-140.667,-78.64,-142.337,WT_Dimer_validated_mini00017.yob
18,YES,1.651,YES,1.745,3.069,-5.44,YES,3.425,YES,2.818,62.643,GAUCHE,-146.547,-80.577,-120.323,WT_Dimer_validated_mini00018.yob
19,YES,2.227,NO,1.852,3.418,-5.44,NO,4.293,YES,2.805,49.718,UNDEFINED,-147.251,-70.409,-114.26,WT_Dimer_validated_mini00019.yob
20,YES,2.026,YES,1.941,3.674,-5.44,NO,3.77,YES,3.025,58.668,GAUCHE,-161.577,-69.663,-131.536,WT_Dimer_validated_mini00020.yob
21,YES,2.027,YES,1.942,3.16,-5.44,NO,3.734,YES,2.734,66.033,GAUCHE,-152.385,-85.242,-145.747,WT_Dimer_validated_mini00021.yob
22,YES,1.895,YES,1.675,3.421,-5.44,NO,3.774,YES,2.83,57.769,GAUCHE,-142.195,-87.101,-112.081,WT_Dimer_validated_mini00022.yob
