Frame,RMSD
0,0.0
1,0.6379400000000001
2,0.7506900000000001
3,0.85631
4,0.8467000000000001
5,0.8838800000000001
6,0.9196900000000001
7,0.84979
8,0.78471
9,0.8506600000000001
10,0.8495400000000001
11,0.8014600000000001
12,0.79568
13,0.7815300000000001
14,0.77002
15,0.7622700000000001
16,0.7493900000000001
17,0.7506600000000001
18,0.7328
19,0.92861
20,0.8334400000000001
21,0.7816500000000001
22,0.78768
23,0.7614000000000001
24,0.8343800000000001
25,0.6821200000000001
26,0.7928700000000001
27,0.8382100000000001
28,0.8371700000000001
29,0.87794
30,0.85465
31,0.8911600000000001
32,0.80315
33,0.7439500000000001
34,0.8345800000000001
35,0.80286
36,0.7842100000000001
37,0.7116600000000001
38,0.71784
39,0.8705400000000001
40,0.8797200000000001
41,0.8910100000000001
42,0.82403
43,0.8452400000000001
44,0.9349900000000001
45,0.8304800000000001
46,0.78134
47,0.95781
48,0.9012600000000001
49,0.87946
50,0.89224
51,0.8893000000000001
52,0.8840300000000001
53,0.8797600000000001
54,0.8424200000000001
55,0.7548900000000001
56,0.8852500000000001
57,0.9525300000000001
58,0.9222400000000001
59,0.79078
60,0.8171600000000001
61,0.8515400000000001
62,0.8514600000000001
63,0.7934300000000001
64,0.9042000000000001
65,0.88502
66,0.8157800000000001
67,0.83398
68,0.85087
69,0.7496
70,0.9291300000000001
71,0.83835
72,0.82984
73,0.8563400000000001
74,0.7719900000000001
75,0.8030400000000001
76,0.83394
77,0.8292900000000001
78,0.8221400000000001
79,0.8383600000000001
80,0.87648
81,0.7600600000000001
82,0.8996600000000001
83,0.7633800000000001
84,0.8149900000000001
85,0.8001800000000001
86,0.7465400000000001
87,0.83003
88,0.69981
89,0.8300400000000001
90,0.78917
91,0.8209000000000001
92,0.8219000000000001
93,0.7738100000000001
94,0.8166100000000001
95,0.75012
96,0.75455
97,0.7063100000000001
98,0.9097100000000001
99,0.9229100000000001
100,0.9520200000000001
101,0.8978700000000001
102,0.84667
103,1.03069
104,1.04723
105,1.0903800000000001
106,0.79964
107,0.9906300000000001
108,0.98989
109,0.8561000000000001
110,0.9690300000000001
111,1.12369
112,1.2235900000000002
113,1.14548
114,1.00022
115,1.19506
116,0.9337300000000001
117,1.0131000000000001
118,1.17236
119,1.08945
120,1.1706400000000001
121,1.12844
122,1.1606
123,1.10827
124,1.2131500000000002
125,1.19104
126,1.0829000000000002
127,1.1911800000000001
128,1.14406
129,0.99489
130,1.1475300000000002
131,1.23211
132,1.1976
133,1.07708
134,1.0987500000000001
135,1.07505
136,1.09786
137,0.9942300000000001
138,1.14033
139,0.9996
140,1.0717400000000001
141,1.10017
142,1.10756
143,0.95962
144,1.2609400000000002
145,1.31099
146,1.24173
147,1.08575
148,1.24038
149,1.10074
150,1.04359
151,1.01159
152,1.13748
153,1.06454
154,1.00754
155,0.90963
156,0.92778
157,0.9905800000000001
158,0.9846400000000001
159,0.8619500000000001
160,0.9667000000000001
161,0.8860600000000001
162,0.8375600000000001
163,1.0045300000000001
164,1.2017300000000002
165,1.14572
166,1.1030600000000002
167,0.9757300000000001
168,1.24705
169,0.9772200000000001
170,0.8779500000000001
171,1.06948
172,0.9210900000000001
173,0.9319400000000001
174,1.3269000000000002
175,1.09351
176,0.97377
177,0.9893600000000001
178,1.00903
179,0.9871300000000001
180,0.99892
181,0.90641
182,0.9205700000000001
183,0.9918600000000001
184,1.0833400000000002
185,0.9758000000000001
186,1.0372400000000002
187,0.8613500000000001
188,0.9420400000000001
189,0.8266100000000001
190,0.74931
191,0.8895900000000001
192,0.94105
193,0.8667100000000001
194,0.8504400000000001
195,0.7893500000000001
196,0.78185
197,0.7876400000000001
198,0.8998800000000001
199,0.91876
200,0.8236600000000001
201,0.82981
202,0.9412200000000001
203,1.0358500000000002
204,0.9395000000000001
205,0.7699400000000001
206,0.8039400000000001
207,0.9093100000000001
208,0.8498100000000001
209,0.9670500000000001
210,1.0413000000000001
211,0.87853
212,0.8944900000000001
213,0.96445
214,0.9279900000000001
215,0.96408
216,1.07204
217,0.9927900000000001
218,0.9626000000000001
219,1.07868
220,1.0518500000000002
