FRAME,DIHEDROS
455,-90.612
456,-105.405
457,-113.484
458,-95.914
459,-95.563
460,-112.023
461,-113.568
462,-108.588
463,-125.98
464,-101.251
465,-94.869
466,-96.415
467,-98.545
468,-86.186
469,-103.835
470,-94.209
471,-100.342
472,-113.773
473,-97.565
474,-121.274
475,-110.946
476,-82.12
477,-102.24
478,-91.514
479,-99.752
480,-129.095
481,-95.067
482,-84.834
483,-119.307
484,-90.021
485,-120.904
486,-91.94
487,-83.947
488,-118.933
489,-102.616
490,-79.422
491,-115.895
492,-112.785
493,-102.202
494,-89.86
495,-100.788
496,-96.909
497,-115.011
498,-103.368
499,-88.835
500,-88.193
501,-94.275
502,-103.993
503,-95.753
504,-104.409
505,-90.175
506,-105.243
507,-104.966
508,-105.508
509,-116.332
510,-113.014
511,-128.367
512,-93.326
513,-100.789
514,-106.373
515,-105.34
516,-128.349
517,-100.939
518,-111.265
519,-114.168
520,-108.995
521,-104.677
522,-114.496
523,-102.916
524,-131.141
525,-110.896
526,-118.767
527,-103.89
528,-85.374
529,-98.341
530,-88.927
531,-110.203
532,-89.273
533,-115.803
534,-91.592
535,-103.098
536,-99.981
537,-98.287
538,-108.712
539,-105.741
540,-108.666
541,-103.379
542,-118.04
543,-120.358
544,-114.375
545,-79.938
546,-107.192
547,-113.192
548,-120.507
549,-111.547
550,-95.161
551,-109.992
552,-99.245
553,-119.9
554,-110.941
555,-111.539
556,-82.722
557,-93.626
558,-111.749
559,-115.77
560,-84.18
561,-86.1
562,-116.064
563,-74.893
564,-112.527
565,-90.975
566,-93.766
567,-149.636
568,-91.892
569,-93.457
570,-133.285
571,-84.989
572,-85.981
573,-92.832
574,-106.766
575,-111.675
576,-100.482
577,-110.87
578,-94.704
579,-117.833
580,-102.579
581,-88.316
582,-101.134
583,-120.989
584,-104.729
585,-89.837
586,-98.403
587,-70.812
588,-108.245
589,-108.737
590,-107.917
591,-91.735
592,-112.69
593,-123.978
594,-104.98
595,-103.852
596,-94.647
597,-84.654
598,-106.307
599,-127.102
600,-95.317
601,-112.16
602,-111.767
603,-118.329
604,-96.089
605,-122.896
606,-97.603
607,-102.416
608,-104.231
609,-111.813
610,-106.622
611,-94.704
612,-113.588
613,-114.007
614,-98.757
615,-91.064
616,-101.619
617,-125.017
618,-84.563
619,-102.122
