FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
36,YES,2.22,YES,1.826,3.596,-6.61,NO,4.243,YES,2.848,77.847,GAUCHE,-141.616,-70.62,-130.684,S214H_dimer_validated_mini00036.yob
37,NO,2.713,YES,1.781,3.51,-6.61,NO,4.11,YES,2.951,83.344,GAUCHE,-154.98,-82.633,-134.314,S214H_dimer_validated_mini00037.yob
38,YES,2.212,YES,1.76,3.675,-6.61,NO,4.084,YES,2.831,81.354,GAUCHE,-144.395,-68.891,-124.416,S214H_dimer_validated_mini00038.yob
39,YES,2.011,YES,1.963,3.663,-6.61,NO,3.947,YES,2.973,65.276,GAUCHE,-149.154,-78.018,-141.116,S214H_dimer_validated_mini00039.yob
40,NO,2.912,YES,1.966,3.808,-6.61,NO,4.518,YES,3.245,81.389,GAUCHE,-140.106,-79.377,-130.947,S214H_dimer_validated_mini00040.yob
41,NO,2.494,YES,1.803,3.611,-6.61,NO,4.493,YES,3.028,59.223,GAUCHE,-152.331,-83.286,-124.987,S214H_dimer_validated_mini00041.yob
42,NO,2.54,YES,1.703,3.613,-6.61,NO,4.08,YES,2.954,72.934,GAUCHE,-150.85,-79.846,-120.265,S214H_dimer_validated_mini00042.yob
43,YES,2.134,YES,1.891,3.238,-6.61,NO,4.24,NO,3.22,79.557,GAUCHE,-148.586,-82.294,-123.084,S214H_dimer_validated_mini00043.yob
44,YES,2.314,YES,1.725,3.551,-6.61,NO,4.177,YES,2.948,81.26,GAUCHE,-154.879,-60.292,-133.527,S214H_dimer_validated_mini00044.yob
45,YES,2.205,YES,1.765,3.215,-6.61,NO,3.436,NO,3.071,76.688,GAUCHE,-148.569,-82.455,-124.241,S214H_dimer_validated_mini00045.yob
46,YES,2.332,YES,1.668,3.063,-6.61,NO,3.472,YES,2.921,90.9,UNDEFINED,-133.745,-69.256,-133.997,S214H_dimer_validated_mini00046.yob
47,YES,2.026,YES,1.774,2.874,-6.61,YES,3.295,YES,3.019,69.035,GAUCHE,-142.454,-87.319,-124.104,S214H_dimer_validated_mini00047.yob
48,NO,2.654,YES,1.86,3.586,-6.61,NO,3.737,YES,2.758,70.664,GAUCHE,-140.784,-79.528,-123.119,S214H_dimer_validated_mini00048.yob
49,YES,2.199,YES,1.679,3.441,-6.61,NO,3.965,YES,3.018,81.584,GAUCHE,-151.539,-75.102,-114.637,S214H_dimer_validated_mini00049.yob
50,YES,2.082,YES,1.947,3.279,-6.61,NO,3.519,YES,2.907,76.278,GAUCHE,-141.706,-74.797,-120.624,S214H_dimer_validated_mini00050.yob
