FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
35,YES,2.07,YES,1.995,3.335,-5.35,NO,3.762,YES,2.909,158.831,TRANS,73.676,-67.612,-133.329,DuraPETase_dimer_validated_mini00035.yob
36,NO,2.156,YES,2.035,3.204,-5.35,NO,3.821,YES,2.711,164.86,TRANS,57.699,-73.389,-130.908,DuraPETase_dimer_validated_mini00036.yob
37,YES,1.804,YES,1.94,3.027,-5.35,NO,3.649,YES,2.898,135.635,UNDEFINED,70.673,-69.376,-117.579,DuraPETase_dimer_validated_mini00037.yob
38,NO,2.905,YES,1.779,3.404,-5.35,NO,3.898,YES,2.931,85.726,GAUCHE,48.626,-69.623,-129.585,DuraPETase_dimer_validated_mini00038.yob
39,YES,2.078,YES,1.731,3.298,-5.35,NO,4.482,YES,3.033,66.646,GAUCHE,43.688,-69.397,-121.172,DuraPETase_dimer_validated_mini00039.yob
40,NO,4.109,YES,1.748,3.542,-5.35,NO,4.887,YES,2.993,51.464,GAUCHE,76.437,-79.377,-129.884,DuraPETase_dimer_validated_mini00040.yob
41,YES,1.943,YES,1.848,4.273,-5.35,NO,5.306,YES,3.201,21.628,UNDEFINED,65.065,-78.918,-118.507,DuraPETase_dimer_validated_mini00041.yob
42,NO,2.043,YES,2.016,4.743,-5.35,NO,6.137,NO,4.152,32.534,UNDEFINED,68.887,-79.814,-114.921,DuraPETase_dimer_validated_mini00042.yob
43,NO,3.402,YES,1.928,3.646,-5.35,NO,4.954,YES,3.011,49.68,UNDEFINED,66.124,-63.885,-120.839,DuraPETase_dimer_validated_mini00043.yob
44,YES,2.045,YES,1.642,3.441,-5.35,NO,4.645,YES,2.86,33.548,UNDEFINED,55.552,-81.39,-114.336,DuraPETase_dimer_validated_mini00044.yob
45,YES,1.804,YES,1.898,4.321,-5.35,NO,5.576,NO,3.484,42.868,UNDEFINED,52.893,-92.213,-133.846,DuraPETase_dimer_validated_mini00045.yob
46,YES,1.827,YES,2.06,4.318,-5.35,NO,6.213,NO,3.705,19.506,UNDEFINED,62.523,-66.308,-130.667,DuraPETase_dimer_validated_mini00046.yob
47,YES,2.196,YES,1.875,3.848,-5.35,NO,5.232,YES,3.016,44.699,UNDEFINED,61.144,-81.275,-148.187,DuraPETase_dimer_validated_mini00047.yob
48,YES,2.084,YES,2.078,3.39,-5.35,NO,4.868,NO,2.968,37.004,UNDEFINED,65.471,-68.014,-136.254,DuraPETase_dimer_validated_mini00048.yob
49,YES,1.815,YES,1.869,3.402,-5.35,NO,4.947,YES,2.796,32.188,UNDEFINED,40.315,-80.805,-129.152,DuraPETase_dimer_validated_mini00049.yob
50,YES,1.997,YES,1.912,3.779,-5.35,NO,4.725,YES,3.001,69.25,GAUCHE,65.269,-84.555,-129.774,DuraPETase_dimer_validated_mini00050.yob
51,YES,1.73,YES,1.693,3.7,-5.35,NO,5.245,YES,2.877,66.056,GAUCHE,65.888,-79.228,-109.681,DuraPETase_dimer_validated_mini00051.yob
52,YES,2.029,YES,1.841,3.521,-5.35,NO,4.635,YES,3.084,29.123,UNDEFINED,57.223,-74.375,-120.772,DuraPETase_dimer_validated_mini00052.yob
53,YES,1.921,YES,1.892,3.521,-5.35,NO,4.387,YES,2.874,73.305,GAUCHE,68.154,-79.952,-131.923,DuraPETase_dimer_validated_mini00053.yob
54,NO,2.883,YES,1.827,3.568,-5.35,NO,5.004,YES,2.922,66.635,GAUCHE,75.796,-83.641,-141.321,DuraPETase_dimer_validated_mini00054.yob
55,YES,2.226,YES,1.826,3.3,-5.35,NO,4.347,YES,2.795,48.105,UNDEFINED,66.715,-59.872,-116.908,DuraPETase_dimer_validated_mini00055.yob
56,YES,2.021,YES,2.154,3.718,-5.35,NO,5.135,YES,2.749,45.948,UNDEFINED,43.788,-67.229,-131.432,DuraPETase_dimer_validated_mini00056.yob
57,YES,1.763,YES,1.906,3.408,-5.35,NO,3.886,YES,2.849,83.027,GAUCHE,47.858,-68.888,-111.68,DuraPETase_dimer_validated_mini00057.yob
58,NO,2.834,YES,1.978,4.029,-5.35,NO,5.105,NO,5.839,49.844,UNDEFINED,60.139,-76.03,-109.941,DuraPETase_dimer_validated_mini00058.yob
59,NO,4.176,YES,1.832,3.923,-5.35,NO,5.09,NO,3.76,57.324,GAUCHE,72.096,-81.34,-128.207,DuraPETase_dimer_validated_mini00059.yob
60,NO,3.648,YES,1.98,3.789,-5.35,NO,5.516,NO,4.048,63.905,GAUCHE,50.736,-79.225,-127.608,DuraPETase_dimer_validated_mini00060.yob
61,NO,3.564,YES,1.887,3.748,-5.35,NO,4.567,YES,2.801,41.272,UNDEFINED,87.693,-76.427,-118.522,DuraPETase_dimer_validated_mini00061.yob
62,NO,3.509,YES,1.9,3.979,-5.35,NO,5.73,NO,3.501,17.371,UNDEFINED,57.189,-77.939,-140.257,DuraPETase_dimer_validated_mini00062.yob
63,NO,3.572,YES,1.821,3.842,-5.35,NO,5.414,NO,3.124,27.811,UNDEFINED,76.426,-84.296,-124.538,DuraPETase_dimer_validated_mini00063.yob
64,NO,3.177,YES,1.988,3.535,-5.35,NO,5.16,NO,3.517,26.076,UNDEFINED,33.628,-77.535,-124.181,DuraPETase_dimer_validated_mini00064.yob
65,NO,3.095,YES,1.874,3.786,-5.35,NO,5.263,NO,3.274,30.815,UNDEFINED,56.853,-84.985,-123.25,DuraPETase_dimer_validated_mini00065.yob
66,NO,3.372,YES,1.857,3.694,-5.35,NO,5.252,YES,2.911,17.147,UNDEFINED,54.587,-84.766,-108.792,DuraPETase_dimer_validated_mini00066.yob
67,NO,3.188,YES,2.09,3.72,-5.35,NO,5.479,NO,3.31,33.145,UNDEFINED,63.033,-76.915,-118.014,DuraPETase_dimer_validated_mini00067.yob
68,NO,3.452,YES,1.723,3.656,-5.35,NO,5.254,NO,3.445,2.972,UNDEFINED,69.216,-67.698,-128.706,DuraPETase_dimer_validated_mini00068.yob
69,NO,3.669,YES,1.631,3.735,-5.35,NO,5.598,NO,3.407,49.496,UNDEFINED,53.223,-78.663,-122.559,DuraPETase_dimer_validated_mini00069.yob
70,NO,2.94,YES,1.689,3.738,-5.35,NO,5.079,NO,3.297,40.866,UNDEFINED,63.439,-57.481,-135.202,DuraPETase_dimer_validated_mini00070.yob
71,NO,3.554,YES,1.951,3.836,-5.35,NO,5.069,YES,3.035,12.888,UNDEFINED,74.229,-78.85,-131.609,DuraPETase_dimer_validated_mini00071.yob
72,NO,3.448,YES,1.769,3.912,-5.35,NO,5.302,NO,3.149,5.411,UNDEFINED,90.259,-84.83,-128.947,DuraPETase_dimer_validated_mini00072.yob
73,NO,3.339,YES,1.762,3.72,-5.35,NO,5.326,YES,2.954,25.214,UNDEFINED,96.274,-76.591,-139.613,DuraPETase_dimer_validated_mini00073.yob
74,NO,3.762,YES,1.812,3.639,-5.35,NO,5.057,NO,3.34,38.685,UNDEFINED,135.814,-83.752,-114.791,DuraPETase_dimer_validated_mini00074.yob
75,NO,3.037,YES,1.769,4.254,-5.35,NO,5.477,NO,3.186,6.96,UNDEFINED,-115.694,-70.217,-135.922,DuraPETase_dimer_validated_mini00075.yob
76,NO,4.046,YES,1.794,3.722,-5.35,NO,4.969,NO,3.262,23.05,UNDEFINED,-106.879,-70.107,-126.164,DuraPETase_dimer_validated_mini00076.yob
77,NO,3.288,YES,1.816,3.713,-5.35,NO,5.145,NO,3.063,41.312,UNDEFINED,-109.223,-75.72,-138.121,DuraPETase_dimer_validated_mini00077.yob
78,NO,3.375,YES,1.85,3.443,-5.35,NO,5.167,YES,2.765,41.871,UNDEFINED,-121.437,-76.771,-117.426,DuraPETase_dimer_validated_mini00078.yob
79,NO,3.788,YES,1.794,3.534,-5.35,NO,5.237,YES,2.948,31.048,UNDEFINED,-129.047,-94.348,-138.497,DuraPETase_dimer_validated_mini00079.yob
80,NO,3.308,YES,1.854,3.52,-5.35,NO,5.204,NO,3.367,28.021,UNDEFINED,-126.906,-91.337,-128.402,DuraPETase_dimer_validated_mini00080.yob
81,NO,3.714,YES,1.871,3.576,-5.35,NO,5.181,NO,3.124,53.213,GAUCHE,-142.743,-79.352,-132.292,DuraPETase_dimer_validated_mini00081.yob
82,NO,3.943,YES,1.851,3.93,-5.35,NO,5.323,NO,3.305,18.86,UNDEFINED,-122.103,-67.761,-123.521,DuraPETase_dimer_validated_mini00082.yob
83,NO,3.733,YES,1.643,3.405,-5.35,NO,5.171,YES,2.973,32.326,UNDEFINED,-109.277,-74.795,-116.963,DuraPETase_dimer_validated_mini00083.yob
84,NO,3.471,NO,1.976,3.91,-5.35,NO,5.069,NO,3.425,18.624,UNDEFINED,-125.594,-79.767,-128.56,DuraPETase_dimer_validated_mini00084.yob
85,NO,3.83,YES,1.999,3.767,-5.35,NO,5.521,NO,3.294,27.362,UNDEFINED,-146.056,-63.593,-122.779,DuraPETase_dimer_validated_mini00085.yob
86,NO,3.243,YES,1.841,3.86,-5.35,NO,5.34,NO,3.23,22.33,UNDEFINED,-130.36,-80.184,-111.591,DuraPETase_dimer_validated_mini00086.yob
87,NO,4.203,YES,1.744,3.693,-5.35,NO,5.155,NO,3.24,22.52,UNDEFINED,-124.874,-68.591,-126.292,DuraPETase_dimer_validated_mini00087.yob
88,NO,3.187,NO,1.88,4.296,-5.35,NO,5.482,NO,3.102,29.084,UNDEFINED,-125.486,-67.199,-118.056,DuraPETase_dimer_validated_mini00088.yob
89,NO,2.787,NO,1.911,4.222,-5.35,NO,4.876,NO,3.774,28.047,UNDEFINED,-109.173,-80.543,-111.867,DuraPETase_dimer_validated_mini00089.yob
90,NO,3.358,YES,1.82,3.887,-5.35,NO,5.305,NO,3.045,44.148,UNDEFINED,-128.878,-46.186,-121.858,DuraPETase_dimer_validated_mini00090.yob
91,NO,2.823,YES,1.711,3.906,-5.35,NO,5.423,YES,2.844,35.562,UNDEFINED,-119.751,-64.271,-133.083,DuraPETase_dimer_validated_mini00091.yob
92,NO,2.113,YES,1.781,3.383,-5.35,NO,3.785,YES,3.047,61.574,GAUCHE,-112.958,-72.844,-132.12,DuraPETase_dimer_validated_mini00092.yob
93,YES,2.151,YES,2.136,3.118,-5.35,NO,3.617,YES,2.922,66.867,GAUCHE,-97.312,-79.021,-144.685,DuraPETase_dimer_validated_mini00093.yob
94,YES,2.167,YES,1.936,3.409,-5.35,NO,3.644,YES,2.885,58.558,GAUCHE,-116.135,-77.963,-131.696,DuraPETase_dimer_validated_mini00094.yob
