FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
0,NO,2.598,YES,1.793,3.15,-5.35,YES,3.275,YES,2.852,71.672,GAUCHE,91.773,-75.479,-137.119,DuraPETase_dimer_validated_mini00000.yob
1,NO,3.741,NO,2.437,3.259,-5.35,NO,4.334,YES,3.005,70.364,GAUCHE,55.687,-82.602,-128.008,DuraPETase_dimer_validated_mini00001.yob
2,NO,5.003,YES,1.882,4.436,-5.35,NO,3.699,YES,2.907,72.163,GAUCHE,57.727,-72.308,-125.181,DuraPETase_dimer_validated_mini00002.yob
3,NO,4.276,YES,1.709,4.403,-5.35,NO,4.112,YES,3.11,77.909,GAUCHE,90.291,-70.111,-116.227,DuraPETase_dimer_validated_mini00003.yob
4,NO,2.283,YES,1.818,3.646,-5.35,NO,3.841,YES,3.19,56.707,GAUCHE,60.167,-80.695,-135.372,DuraPETase_dimer_validated_mini00004.yob
5,NO,2.595,YES,1.88,3.274,-5.35,NO,3.945,YES,2.908,60.402,GAUCHE,47.521,-82.369,-128.295,DuraPETase_dimer_validated_mini00005.yob
6,NO,2.04,YES,1.883,3.719,-5.35,NO,4.733,YES,3.265,35.197,UNDEFINED,53.102,-79.046,-101.064,DuraPETase_dimer_validated_mini00006.yob
7,YES,2.045,YES,1.783,3.516,-5.35,NO,4.431,YES,2.858,19.606,UNDEFINED,61.624,-66.286,-111.092,DuraPETase_dimer_validated_mini00007.yob
8,YES,2.285,YES,1.869,4.155,-5.35,NO,5.403,NO,3.611,12.415,UNDEFINED,50.298,-74.325,-134.94,DuraPETase_dimer_validated_mini00008.yob
9,YES,2.169,YES,1.824,3.914,-5.35,NO,5.682,NO,4.109,36.693,UNDEFINED,81.681,-84.343,-125.22,DuraPETase_dimer_validated_mini00009.yob
10,YES,2.29,YES,1.97,4.165,-5.35,NO,5.371,NO,3.753,30.38,UNDEFINED,49.571,-74.381,-111.363,DuraPETase_dimer_validated_mini00010.yob
11,YES,2.42,YES,1.779,3.993,-5.35,NO,5.25,YES,2.876,4.026,UNDEFINED,69.031,-73.7,-139.1,DuraPETase_dimer_validated_mini00011.yob
12,NO,2.333,YES,1.867,3.512,-5.35,NO,4.535,YES,2.905,31.946,UNDEFINED,65.642,-80.696,-122.927,DuraPETase_dimer_validated_mini00012.yob
13,YES,2.028,YES,1.773,3.22,-5.35,NO,4.197,YES,3.093,33.192,UNDEFINED,52.276,-76.342,-137.198,DuraPETase_dimer_validated_mini00013.yob
14,YES,1.995,YES,2.051,3.431,-5.35,NO,4.265,YES,2.842,55.619,GAUCHE,37.014,-66.533,-128.58,DuraPETase_dimer_validated_mini00014.yob
15,YES,1.903,YES,1.744,3.114,-5.35,NO,3.882,YES,2.87,60.863,GAUCHE,66.969,-90.892,-123.086,DuraPETase_dimer_validated_mini00015.yob
