FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
0,YES,2.056,YES,1.83,3.302,-5.44,NO,3.686,YES,2.797,83.087,GAUCHE,-146.141,-87.446,-133.853,WT_Dimer_validated_mini00000.yob
1,NO,2.069,YES,1.809,3.64,-5.44,NO,3.59,YES,3.113,69.269,GAUCHE,-117.684,-86.064,-142.725,WT_Dimer_validated_mini00001.yob
2,YES,2.235,YES,1.856,3.274,-5.44,NO,3.781,YES,2.778,85.716,GAUCHE,-154.044,-81.221,-110.114,WT_Dimer_validated_mini00002.yob
3,NO,2.149,YES,1.9,3.641,-5.44,NO,3.657,YES,2.913,94.389,UNDEFINED,-136.851,-78.872,-122.697,WT_Dimer_validated_mini00003.yob
4,YES,1.978,YES,1.776,3.046,-5.44,YES,3.33,YES,3.039,77.399,GAUCHE,-134.472,-92.959,-128.65,WT_Dimer_validated_mini00004.yob
5,NO,2.109,YES,1.993,3.708,-5.44,NO,4.024,YES,2.806,62.564,GAUCHE,-150.658,-74.348,-138.84,WT_Dimer_validated_mini00005.yob
6,NO,2.422,NO,1.962,3.427,-5.44,NO,3.9,YES,2.888,58.028,GAUCHE,-141.604,-78.626,-119.74,WT_Dimer_validated_mini00006.yob
7,YES,2.36,YES,1.762,3.313,-5.44,NO,3.584,YES,2.961,69.455,GAUCHE,-128.397,-88.688,-124.743,WT_Dimer_validated_mini00007.yob
8,NO,2.573,YES,1.685,3.41,-5.44,NO,3.541,YES,2.876,62.573,GAUCHE,-162.386,-88.134,-112.867,WT_Dimer_validated_mini00008.yob
9,NO,2.186,YES,1.67,3.076,-5.44,YES,3.233,YES,2.854,42.384,UNDEFINED,-149.928,-84.578,-127.539,WT_Dimer_validated_mini00009.yob
10,YES,2.097,NO,1.958,3.385,-5.44,NO,3.6,YES,2.86,67.572,GAUCHE,-132.227,-83.278,-132.442,WT_Dimer_validated_mini00010.yob
11,NO,3.216,YES,1.955,3.317,-5.44,NO,4.153,YES,3.06,86.286,GAUCHE,-154.855,-74.222,-126.863,WT_Dimer_validated_mini00011.yob
12,NO,2.782,YES,1.834,3.905,-5.44,NO,4.783,YES,3.009,75.086,GAUCHE,-138.383,-81.708,-124.556,WT_Dimer_validated_mini00012.yob
13,NO,3.18,YES,1.71,3.672,-5.44,NO,5.099,YES,3.056,58.688,GAUCHE,-135.487,-73.236,-122.25,WT_Dimer_validated_mini00013.yob
14,NO,3.98,YES,1.854,4.154,-5.44,NO,5.204,NO,4.245,50.552,GAUCHE,-142.88,-72.787,-127.613,WT_Dimer_validated_mini00014.yob
15,NO,4.182,YES,1.744,3.554,-5.44,NO,5.158,NO,3.074,31.047,UNDEFINED,-150.356,-75.224,-114.884,WT_Dimer_validated_mini00015.yob
