FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
0,NO,2.453,YES,1.951,3.231,-5.35,YES,3.322,YES,2.873,77.012,GAUCHE,79.414,-81.819,-121.854,DuraPETase_dimer_validated_mini00000.yob
1,NO,3.004,YES,1.934,3.386,-5.35,NO,3.533,YES,2.947,94.589,UNDEFINED,74.892,-84.066,-109.933,DuraPETase_dimer_validated_mini00001.yob
2,YES,2.058,YES,1.975,3.43,-5.35,NO,4.477,YES,3.316,162.497,TRANS,64.382,-61.336,-109.11,DuraPETase_dimer_validated_mini00002.yob
3,YES,2.204,YES,1.767,3.201,-5.35,NO,4.069,YES,2.813,173.745,TRANS,75.092,-81.473,-97.095,DuraPETase_dimer_validated_mini00003.yob
4,YES,2.368,YES,1.722,3.362,-5.35,NO,4.212,YES,3.375,151.764,TRANS,74.222,-84.419,-125.73,DuraPETase_dimer_validated_mini00004.yob
5,YES,1.899,YES,1.713,3.507,-5.35,NO,3.387,YES,3.195,165.742,TRANS,52.818,-77.755,-113.369,DuraPETase_dimer_validated_mini00005.yob
6,YES,2.087,YES,1.868,3.347,-5.35,NO,3.721,YES,2.711,176.765,TRANS,49.368,-80.241,-135.87,DuraPETase_dimer_validated_mini00006.yob
7,YES,2.135,YES,1.666,3.309,-5.35,NO,3.979,YES,3.044,164.351,TRANS,69.452,-79.998,-133.727,DuraPETase_dimer_validated_mini00007.yob
8,NO,2.198,YES,1.807,3.516,-5.35,NO,3.985,YES,2.975,162.981,TRANS,66.633,-81.23,-123.094,DuraPETase_dimer_validated_mini00008.yob
9,YES,1.985,YES,1.774,3.558,-5.35,NO,3.894,YES,2.943,177.093,TRANS,65.851,-79.971,-107.825,DuraPETase_dimer_validated_mini00009.yob
