STRUCTURE,DISTANCE_SER,ENERGY,MET,DISTANCE_MET,TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,VARIANT,TEMPERATURE,DOCKING
resultsDocking_S214H_315_C42-f2064-s60_PET_dimer_016_mini.yob,2.96,-6.218,NO,3.568,YES,2.874,94.721,undefined,S214H,315,016
resultsDocking_DuraPETase_303_C49-f2308-s76_PET_dimer_008_mini.yob,2.96,-5.104,YES,3.352,YES,2.935,38.149,undefined,DuraPETase,303,008
resultsDocking_DuraPETase_315_C43-f411-s56_PET_dimer_005_mini.yob,2.96,-6.025,YES,3.234,YES,3.05,32.918,undefined,DuraPETase,315,005
resultsDocking_TSPETase_303_C382-f6837-s13_PET_dimer_004_mini.yob,2.96,-5.205,NO,3.476,YES,2.893,15.921,undefined,TSPETase,303,004
resultsDocking_DuraPETase_303_C128-f1355-s31_PET_dimer_010_mini.yob,2.961,-4.911,NO,3.465,YES,2.965,24.606,undefined,DuraPETase,303,010
resultsDocking_DuraPETase_303_C114-f521-s28_PET_dimer_011_mini.yob,2.961,-4.86,YES,3.182,YES,2.835,36.553,undefined,DuraPETase,303,011
resultsDocking_TSPETase_315_C182-f2267-s18_PET_dimer_003_mini.yob,2.961,-6.066,YES,3.345,YES,3.02,31.377,undefined,TSPETase,315,003
resultsDocking_DuraPETase_303_C52-f935-s71_PET_dimer_016_mini.yob,2.961,-4.519,NO,3.724,YES,2.839,9.768,undefined,DuraPETase,303,016
resultsDocking_DuraPETase_315_C47-f669-s57_PET_dimer_010_mini.yob,2.961,-5.037,YES,3.059,YES,2.857,43.328,undefined,DuraPETase,315,010
resultsDocking_DuraPETase_303_C137-f1012-s25_PET_dimer_009_mini.yob,2.961,-6.486,NO,3.451,YES,2.953,41.179,undefined,DuraPETase,303,009
resultsDocking_TSPETase_303_C124-f5418-s20_PET_dimer_010_mini.yob,2.962,-5.52,YES,3.183,YES,2.905,29.786,undefined,TSPETase,303,010
resultsDocking_DuraPETase_303_C149-f3578-s68_PET_dimer_011_mini.yob,2.962,-6.332,NO,3.454,YES,3.0,26.423,undefined,DuraPETase,303,011
resultsDocking_S214H_303_C135-f2600-s30_PET_dimer_001_mini.yob,2.962,-6.941,YES,3.162,YES,2.903,53.327,gauche,S214H,303,001
resultsDocking_WT_303_C106-f1401-s16_PET_dimer_002_mini.yob,2.962,-4.991,NO,3.676,YES,2.841,24.352,undefined,WT,303,002
resultsDocking_TSPETase_303_C133-f9096-s42_PET_dimer_006_mini.yob,2.962,-5.198,NO,3.587,YES,2.865,30.744,undefined,TSPETase,303,006
resultsDocking_WT_315_C107-f5045-s32_PET_dimer_012_mini.yob,2.963,-5.067,YES,3.407,YES,2.909,35.097,undefined,WT,315,012
resultsDocking_TSPETase_303_C456-f6688-s16_PET_dimer_013_mini.yob,2.963,-4.17,YES,3.144,YES,2.812,49.313,undefined,TSPETase,303,013
resultsDocking_TSPETase_315_C282-f5532-s24_PET_dimer_007_mini.yob,2.963,-6.749,YES,3.247,YES,2.932,75.838,gauche,TSPETase,315,007
resultsDocking_DuraPETase_315_C40-f658-s42_PET_dimer_005_mini.yob,2.963,-5.281,YES,3.267,YES,2.849,20.864,undefined,DuraPETase,315,005
resultsDocking_DuraPETase_303_C84-f1437-s34_PET_dimer_005_mini.yob,2.963,-6.73,YES,2.921,YES,2.956,115.75,undefined,DuraPETase,303,005
resultsDocking_DuraPETase_315_C36-f1452-s55_PET_dimer_011_mini.yob,2.963,-4.699,YES,3.448,YES,2.813,39.949,undefined,DuraPETase,315,011
resultsDocking_S214H_303_C26-f4354-s42_PET_dimer_018_mini.yob,2.963,-6.409,NO,3.503,YES,2.875,38.802,undefined,S214H,303,018
resultsDocking_S214H_303_C283-f3835-s25_PET_dimer_006_mini.yob,2.963,-5.265,YES,3.224,YES,2.87,41.095,undefined,S214H,303,006
resultsDocking_DuraPETase_315_C13-f1573-s33_PET_dimer_001_mini.yob,2.963,-5.915,YES,3.087,YES,2.852,40.426,undefined,DuraPETase,315,001
resultsDocking_WT_315_C95-f5195-s40_PET_dimer_003_mini.yob,2.963,-6.565,YES,3.145,YES,2.851,79.157,gauche,WT,315,003
resultsDocking_S214H_315_C298-f6656-s14_PET_dimer_003_mini.yob,2.964,-5.626,NO,3.622,YES,3.041,22.203,undefined,S214H,315,003
resultsDocking_TSPETase_303_C156-f569-s19_PET_dimer_002_mini.yob,2.964,-5.765,YES,3.187,YES,2.856,25.01,undefined,TSPETase,303,002
resultsDocking_TSPETase_303_C141-f1452-s28_PET_dimer_006_mini.yob,2.964,-5.109,NO,4.307,YES,2.815,25.06,undefined,TSPETase,303,006
resultsDocking_DuraPETase_303_C52-f935-s71_PET_dimer_005_mini.yob,2.964,-5.026,NO,3.48,YES,2.873,9.066,undefined,DuraPETase,303,005
resultsDocking_S214H_303_C175-f6462-s31_PET_dimer_008_mini.yob,2.964,-5.921,YES,3.315,YES,2.836,45.6,undefined,S214H,303,008
resultsDocking_TSPETase_315_C180-f5857-s26_PET_dimer_012_mini.yob,2.964,-6.298,YES,3.16,YES,2.871,47.119,undefined,TSPETase,315,012
resultsDocking_TSPETase_315_C158-f5963-s15_PET_dimer_017_mini.yob,2.964,-4.631,YES,3.302,YES,2.85,29.732,undefined,TSPETase,315,017
resultsDocking_WT_315_C480-f7101-s14_PET_dimer_010_mini.yob,2.964,-4.605,YES,3.152,YES,2.907,75.138,gauche,WT,315,010
resultsDocking_TSPETase_315_C282-f5532-s24_PET_dimer_004_mini.yob,2.964,-6.82,YES,3.284,YES,2.906,42.133,undefined,TSPETase,315,004
resultsDocking_S214H_315_C90-f8627-s65_PET_dimer_008_mini.yob,2.964,-5.254,YES,3.196,YES,2.87,41.7,undefined,S214H,315,008
resultsDocking_DuraPETase_303_C174-f5683-s11_PET_dimer_001_mini.yob,2.964,-5.395,YES,2.946,YES,2.888,43.206,undefined,DuraPETase,303,001
resultsDocking_TSPETase_303_C266-f5247-s35_PET_dimer_008_mini.yob,2.964,-5.135,YES,3.263,YES,2.899,24.005,undefined,TSPETase,303,008
resultsDocking_WT_315_C480-f7101-s14_PET_dimer_009_mini.yob,2.964,-4.649,YES,3.308,YES,2.979,55.161,gauche,WT,315,009
resultsDocking_S214H_315_C207-f3023-s11_PET_dimer_002_mini.yob,2.964,-5.366,NO,3.413,YES,2.868,27.68,undefined,S214H,315,002
resultsDocking_S214H_303_C210-f3779-s33_PET_dimer_012_mini.yob,2.964,-4.736,YES,3.241,YES,2.856,36.813,undefined,S214H,303,012
resultsDocking_DuraPETase_303_C157-f6716-s32_PET_dimer_012_mini.yob,2.965,-4.831,NO,3.502,YES,2.907,20.696,undefined,DuraPETase,303,012
resultsDocking_DuraPETase_303_C135-f3369-s65_PET_dimer_012_mini.yob,2.965,-5.063,NO,3.511,YES,2.885,0.787,undefined,DuraPETase,303,012
resultsDocking_TSPETase_315_C314-f1997-s14_PET_dimer_014_mini.yob,2.965,-5.821,YES,2.913,YES,2.813,90.422,undefined,TSPETase,315,014
resultsDocking_WT_303_C290-f3876-s18_PET_dimer_016_mini.yob,2.965,-6.332,YES,3.178,YES,3.004,63.653,gauche,WT,303,016
resultsDocking_TSPETase_303_C254-f7240-s31_PET_dimer_001_mini.yob,2.965,-5.265,YES,3.334,YES,2.792,38.917,undefined,TSPETase,303,001
resultsDocking_DuraPETase_303_C49-f2308-s76_PET_dimer_003_mini.yob,2.965,-5.225,NO,3.528,YES,2.837,29.608,undefined,DuraPETase,303,003
resultsDocking_DuraPETase_315_C71-f336-s25_PET_dimer_015_mini.yob,2.965,-4.697,NO,5.343,NO,4.991,57.962,gauche,DuraPETase,315,015
resultsDocking_TSPETase_315_C99-f4625-s15_PET_dimer_010_mini.yob,2.965,-6.312,YES,3.138,YES,2.906,32.334,undefined,TSPETase,315,010
resultsDocking_TSPETase_303_C120-f3472-s25_PET_dimer_003_mini.yob,2.966,-5.5,YES,3.201,YES,2.822,34.931,undefined,TSPETase,303,003
resultsDocking_WT_315_C94-f658-s16_PET_dimer_001_mini.yob,2.966,-5.407,YES,3.265,YES,2.883,38.31,undefined,WT,315,001
resultsDocking_DuraPETase_303_C208-f5834-s21_PET_dimer_006_mini.yob,2.966,-6.06,YES,3.367,YES,2.912,13.557,undefined,DuraPETase,303,006
resultsDocking_TSPETase_303_C259-f7170-s21_PET_dimer_003_mini.yob,2.966,-5.378,YES,3.321,YES,2.919,35.872,undefined,TSPETase,303,003
resultsDocking_S214H_315_C87-f2953-s42_PET_dimer_010_mini.yob,2.966,-5.106,NO,3.556,YES,2.981,16.618,undefined,S214H,315,010
resultsDocking_WT_303_C106-f1401-s16_PET_dimer_003_mini.yob,2.966,-4.888,YES,3.394,YES,2.855,45.581,undefined,WT,303,003
resultsDocking_TSPETase_315_C103-f339-s28_PET_dimer_001_mini.yob,2.966,-5.598,NO,3.769,YES,2.814,37.19,undefined,TSPETase,315,001
resultsDocking_DuraPETase_303_C133-f732-s16_PET_dimer_015_mini.yob,2.966,-4.772,YES,3.242,YES,2.89,27.054,undefined,DuraPETase,303,015
resultsDocking_TSPETase_303_C139-f8977-s30_PET_dimer_004_mini.yob,2.966,-5.653,YES,3.207,YES,2.912,16.021,undefined,TSPETase,303,004
resultsDocking_DuraPETase_303_C21-f4262-s31_PET_dimer_014_mini.yob,2.966,-4.779,YES,3.325,YES,2.793,35.876,undefined,DuraPETase,303,014
resultsDocking_S214H_315_C286-f6013-s24_PET_dimer_008_mini.yob,2.966,-4.837,YES,3.166,YES,2.885,31.105,undefined,S214H,315,008
resultsDocking_S214H_303_C273-f3843-s21_PET_dimer_003_mini.yob,2.967,-5.747,YES,3.176,YES,2.894,27.006,undefined,S214H,303,003
resultsDocking_S214H_303_C283-f3835-s25_PET_dimer_010_mini.yob,2.967,-5.102,YES,3.205,YES,2.888,39.592,undefined,S214H,303,010
resultsDocking_DuraPETase_303_C22-f3891-s83_PET_dimer_006_mini.yob,2.967,-5.593,NO,3.73,YES,2.96,38.646,undefined,DuraPETase,303,006
resultsDocking_WT_303_C211-f2026-s28_PET_dimer_013_mini.yob,2.967,-5.931,YES,2.987,YES,2.853,27.848,undefined,WT,303,013
resultsDocking_DuraPETase_315_C52-f530-s44_PET_dimer_011_mini.yob,2.967,-5.109,NO,3.489,YES,2.986,27.775,undefined,DuraPETase,315,011
resultsDocking_S214H_303_C220-f3454-s20_PET_dimer_009_mini.yob,2.967,-6.008,NO,3.752,YES,2.89,40.789,undefined,S214H,303,009
resultsDocking_TSPETase_315_C533-f5617-s13_PET_dimer_002_mini.yob,2.967,-5.63,NO,4.407,YES,2.904,25.737,undefined,TSPETase,315,002
resultsDocking_WT_303_C335-f3885-s16_PET_dimer_015_mini.yob,2.967,-6.232,YES,3.169,YES,2.918,40.943,undefined,WT,303,015
resultsDocking_S214H_315_C173-f2179-s22_PET_dimer_013_mini.yob,2.967,-4.612,YES,3.206,YES,2.849,67.297,gauche,S214H,315,013
resultsDocking_TSPETase_315_C181-f2347-s20_PET_dimer_013_mini.yob,2.967,-5.089,YES,3.19,YES,2.845,103.989,undefined,TSPETase,315,013
resultsDocking_WT_315_C405-f4610-s17_PET_dimer_003_mini.yob,2.967,-6.613,YES,3.188,YES,2.907,115.765,undefined,WT,315,003
resultsDocking_TSPETase_303_C105-f6036-s35_PET_dimer_013_mini.yob,2.968,-6.143,YES,3.113,YES,2.867,42.677,undefined,TSPETase,303,013
resultsDocking_TSPETase_303_C105-f6036-s35_PET_dimer_009_mini.yob,2.968,-6.202,NO,3.583,YES,2.892,19.486,undefined,TSPETase,303,009
resultsDocking_S214H_303_C26-f4354-s42_PET_dimer_019_mini.yob,2.968,-6.367,YES,3.156,YES,2.899,40.946,undefined,S214H,303,019
resultsDocking_WT_315_C523-f7421-s17_PET_dimer_018_mini.yob,2.968,-5.914,NO,4.217,NO,3.693,9.205,undefined,WT,315,018
resultsDocking_DuraPETase_303_C171-f3553-s27_PET_dimer_002_mini.yob,2.968,-5.481,YES,3.142,YES,2.84,33.992,undefined,DuraPETase,303,002
resultsDocking_TSPETase_303_C400-f3482-s14_PET_dimer_001_mini.yob,2.968,-5.786,YES,3.195,YES,2.836,25.411,undefined,TSPETase,303,001
resultsDocking_DuraPETase_303_C21-f4262-s31_PET_dimer_012_mini.yob,2.968,-4.807,NO,3.473,YES,2.804,33.193,undefined,DuraPETase,303,012
resultsDocking_DuraPETase_303_C30-f1282-s36_PET_dimer_014_mini.yob,2.968,-4.81,YES,3.145,YES,2.936,18.792,undefined,DuraPETase,303,014
resultsDocking_S214H_303_C161-f5600-s44_PET_dimer_014_mini.yob,2.968,-4.78,YES,3.158,YES,2.862,73.472,gauche,S214H,303,014
resultsDocking_TSPETase_303_C28-f5653-s42_PET_dimer_005_mini.yob,2.968,-5.236,NO,3.645,YES,2.851,30.928,undefined,TSPETase,303,005
resultsDocking_DuraPETase_303_C252-f4898-s6_PET_dimer_009_mini.yob,2.969,-5.17,NO,4.655,YES,2.811,26.103,undefined,DuraPETase,303,009
resultsDocking_DuraPETase_303_C225-f3247-s25_PET_dimer_015_mini.yob,2.969,-4.759,YES,2.961,YES,2.868,27.151,undefined,DuraPETase,303,015
resultsDocking_WT_303_C232-f3333-s22_PET_dimer_014_mini.yob,2.969,-6.324,YES,3.392,YES,2.809,37.834,undefined,WT,303,014
resultsDocking_DuraPETase_303_C21-f4262-s31_PET_dimer_016_mini.yob,2.969,-4.72,YES,3.237,YES,2.914,36.327,undefined,DuraPETase,303,016
resultsDocking_TSPETase_315_C158-f5963-s15_PET_dimer_006_mini.yob,2.969,-5.097,NO,3.494,YES,2.824,27.451,undefined,TSPETase,315,006
resultsDocking_S214H_315_C89-f8662-s16_PET_dimer_004_mini.yob,2.969,-5.252,YES,3.082,YES,2.879,30.844,undefined,S214H,315,004
resultsDocking_WT_303_C290-f3876-s18_PET_dimer_003_mini.yob,2.969,-6.849,YES,3.245,YES,2.911,90.619,undefined,WT,303,003
resultsDocking_TSPETase_303_C254-f7240-s31_PET_dimer_010_mini.yob,2.969,-4.811,YES,2.913,YES,2.795,33.898,undefined,TSPETase,303,010
resultsDocking_DuraPETase_315_C49-f388-s42_PET_dimer_007_mini.yob,2.969,-5.13,NO,3.437,YES,2.97,29.225,undefined,DuraPETase,315,007
resultsDocking_DuraPETase_303_C107-f6000-s21_PET_dimer_015_mini.yob,2.969,-4.677,NO,3.819,YES,2.848,3.13,undefined,DuraPETase,303,015
resultsDocking_S214H_315_C207-f3023-s11_PET_dimer_017_mini.yob,2.97,-4.803,YES,3.326,YES,2.876,13.964,undefined,S214H,315,017
resultsDocking_TSPETase_303_C139-f8977-s30_PET_dimer_010_mini.yob,2.97,-5.389,YES,3.109,YES,2.829,88.659,gauche,TSPETase,303,010
resultsDocking_DuraPETase_303_C239-f2053-s18_PET_dimer_006_mini.yob,2.97,-5.295,NO,4.082,YES,2.824,34.799,undefined,DuraPETase,303,006
resultsDocking_TSPETase_303_C83-f7038-s17_PET_dimer_017_mini.yob,2.97,-5.866,NO,3.934,YES,2.899,32.971,undefined,TSPETase,303,017
resultsDocking_S214H_315_C79-f3232-s27_PET_dimer_014_mini.yob,2.97,-6.436,YES,3.129,YES,2.845,41.574,undefined,S214H,315,014
resultsDocking_DuraPETase_303_C225-f3247-s25_PET_dimer_008_mini.yob,2.97,-4.895,NO,3.649,YES,2.851,28.982,undefined,DuraPETase,303,008
resultsDocking_TSPETase_303_C44-f1317-s33_PET_dimer_016_mini.yob,2.97,-6.348,NO,4.127,YES,2.865,33.866,undefined,TSPETase,303,016
resultsDocking_S214H_303_C135-f2600-s30_PET_dimer_008_mini.yob,2.97,-6.466,YES,3.142,YES,2.885,55.329,gauche,S214H,303,008
resultsDocking_TSPETase_303_C259-f7170-s21_PET_dimer_012_mini.yob,2.97,-5.023,YES,3.262,YES,2.829,40.298,undefined,TSPETase,303,012
resultsDocking_S214H_303_C273-f3843-s21_PET_dimer_017_mini.yob,2.971,-5.446,YES,3.198,YES,2.892,14.453,undefined,S214H,303,017
resultsDocking_WT_303_C408-f4171-s24_PET_dimer_010_mini.yob,2.971,-4.811,NO,3.534,YES,2.846,38.173,undefined,WT,303,010
resultsDocking_WT_303_C106-f1401-s16_PET_dimer_004_mini.yob,2.971,-4.865,YES,3.423,YES,2.889,21.217,undefined,WT,303,004
resultsDocking_DuraPETase_303_C129-f362-s30_PET_dimer_017_mini.yob,2.971,-5.81,YES,3.298,YES,2.919,24.596,undefined,DuraPETase,303,017
resultsDocking_WT_303_C290-f3876-s18_PET_dimer_012_mini.yob,2.971,-6.486,YES,3.245,YES,2.827,45.307,undefined,WT,303,012
resultsDocking_DuraPETase_303_C84-f1437-s34_PET_dimer_015_mini.yob,2.971,-6.463,YES,3.08,YES,2.89,36.691,undefined,DuraPETase,303,015
resultsDocking_DuraPETase_303_C264-f5648-s7_PET_dimer_011_mini.yob,2.971,-4.754,YES,2.971,YES,2.884,45.622,undefined,DuraPETase,303,011
resultsDocking_S214H_315_C288-f7603-s31_PET_dimer_003_mini.yob,2.971,-5.738,YES,3.271,YES,2.863,38.551,undefined,S214H,315,003
resultsDocking_DuraPETase_303_C66-f6008-s31_PET_dimer_011_mini.yob,2.971,-4.96,NO,3.695,YES,3.026,164.741,trans,DuraPETase,303,011
resultsDocking_TSPETase_303_C156-f569-s19_PET_dimer_007_mini.yob,2.971,-5.58,NO,4.058,YES,2.849,8.915,undefined,TSPETase,303,007
resultsDocking_TSPETase_303_C259-f7170-s21_PET_dimer_006_mini.yob,2.971,-5.16,YES,3.265,YES,2.874,46.401,undefined,TSPETase,303,006
resultsDocking_DuraPETase_315_C13-f1573-s33_PET_dimer_003_mini.yob,2.972,-5.771,YES,3.205,YES,2.99,32.622,undefined,DuraPETase,315,003
resultsDocking_TSPETase_315_C155-f6632-s28_PET_dimer_012_mini.yob,2.972,-6.374,YES,3.23,YES,2.885,14.993,undefined,TSPETase,315,012
resultsDocking_DuraPETase_303_C117-f874-s33_PET_dimer_016_mini.yob,2.972,-5.056,YES,3.267,YES,2.861,46.103,undefined,DuraPETase,303,016
resultsDocking_DuraPETase_303_C66-f6008-s31_PET_dimer_014_mini.yob,2.972,-4.869,YES,3.351,YES,2.806,40.891,undefined,DuraPETase,303,014
resultsDocking_TSPETase_303_C83-f7038-s17_PET_dimer_003_mini.yob,2.972,-6.436,NO,4.023,YES,2.818,38.058,undefined,TSPETase,303,003
resultsDocking_TSPETase_303_C116-f3143-s39_PET_dimer_002_mini.yob,2.973,-6.037,YES,3.225,YES,2.896,27.933,undefined,TSPETase,303,002
resultsDocking_DuraPETase_303_C156-f522-s32_PET_dimer_006_mini.yob,2.973,-5.178,NO,3.522,YES,2.84,28.695,undefined,DuraPETase,303,006
resultsDocking_S214H_303_C84-f2549-s27_PET_dimer_013_mini.yob,2.973,-5.059,YES,3.247,YES,2.861,63.703,gauche,S214H,303,013
resultsDocking_DuraPETase_303_C142-f3568-s18_PET_dimer_012_mini.yob,2.973,-5.044,YES,3.351,YES,2.983,40.145,undefined,DuraPETase,303,012
resultsDocking_TSPETase_303_C156-f569-s19_PET_dimer_006_mini.yob,2.973,-5.597,NO,3.78,YES,2.889,35.335,undefined,TSPETase,303,006
resultsDocking_WT_303_C445-f4673-s36_PET_dimer_001_mini.yob,2.973,-5.007,NO,3.681,YES,2.9,45.285,undefined,WT,303,001
resultsDocking_DuraPETase_303_C111-f4470-s55_PET_dimer_012_mini.yob,2.973,-5.177,YES,2.928,YES,3.315,83.172,gauche,DuraPETase,303,012
resultsDocking_S214H_315_C90-f8627-s65_PET_dimer_014_mini.yob,2.973,-4.863,NO,3.59,YES,2.931,12.34,undefined,S214H,315,014
resultsDocking_DuraPETase_303_C142-f3568-s18_PET_dimer_018_mini.yob,2.973,-4.955,NO,3.595,YES,2.858,37.227,undefined,DuraPETase,303,018
resultsDocking_DuraPETase_315_C52-f530-s44_PET_dimer_012_mini.yob,2.973,-5.105,NO,3.472,YES,3.014,27.089,undefined,DuraPETase,315,012
resultsDocking_DuraPETase_303_C239-f2053-s18_PET_dimer_015_mini.yob,2.973,-4.711,NO,4.15,YES,2.859,35.404,undefined,DuraPETase,303,015
resultsDocking_TSPETase_303_C108-f418-s23_PET_dimer_001_mini.yob,2.973,-5.745,YES,3.029,YES,2.825,21.625,undefined,TSPETase,303,001
resultsDocking_DuraPETase_303_C174-f5683-s11_PET_dimer_015_mini.yob,2.973,-4.594,YES,3.086,YES,2.896,39.3,undefined,DuraPETase,303,015
resultsDocking_S214H_303_C283-f3835-s25_PET_dimer_012_mini.yob,2.974,-5.023,NO,3.648,YES,2.88,33.504,undefined,S214H,303,012
resultsDocking_TSPETase_303_C133-f9096-s42_PET_dimer_009_mini.yob,2.974,-5.121,YES,3.332,YES,2.838,37.645,undefined,TSPETase,303,009
resultsDocking_TSPETase_303_C290-f7230-s27_PET_dimer_007_mini.yob,2.974,-5.119,YES,3.271,YES,2.784,50.165,gauche,TSPETase,303,007
resultsDocking_S214H_315_C10-f8825-s6_PET_dimer_010_mini.yob,2.974,-6.321,NO,4.139,NO,4.397,81.36,gauche,S214H,315,010
resultsDocking_TSPETase_303_C116-f3143-s39_PET_dimer_017_mini.yob,2.974,-5.632,YES,3.355,YES,2.914,11.265,undefined,TSPETase,303,017
resultsDocking_DuraPETase_303_C137-f1012-s25_PET_dimer_014_mini.yob,2.975,-6.356,YES,3.159,YES,2.97,154.434,trans,DuraPETase,303,014
resultsDocking_S214H_315_C79-f3232-s27_PET_dimer_009_mini.yob,2.975,-6.536,YES,3.144,YES,2.85,36.535,undefined,S214H,315,009
resultsDocking_TSPETase_315_C181-f2347-s20_PET_dimer_006_mini.yob,2.975,-5.35,NO,3.417,YES,2.91,90.581,undefined,TSPETase,315,006
resultsDocking_DuraPETase_303_C129-f362-s30_PET_dimer_008_mini.yob,2.975,-6.141,YES,3.336,YES,2.934,18.475,undefined,DuraPETase,303,008
resultsDocking_TSPETase_303_C91-f2909-s17_PET_dimer_003_mini.yob,2.975,-4.838,NO,4.183,YES,2.789,23.367,undefined,TSPETase,303,003
resultsDocking_DuraPETase_303_C188-f3417-s23_PET_dimer_017_mini.yob,2.975,-5.35,YES,3.248,YES,2.794,34.306,undefined,DuraPETase,303,017
resultsDocking_TSPETase_303_C257-f7164-s21_PET_dimer_003_mini.yob,2.975,-5.096,YES,3.303,YES,2.874,18.07,undefined,TSPETase,303,003
resultsDocking_TSPETase_303_C135-f7107-s48_PET_dimer_012_mini.yob,2.975,-4.998,YES,3.185,YES,2.835,43.725,undefined,TSPETase,303,012
resultsDocking_S214H_315_C10-f8825-s6_PET_dimer_013_mini.yob,2.975,-6.209,YES,3.153,YES,2.885,80.194,gauche,S214H,315,013
resultsDocking_DuraPETase_315_C13-f1573-s33_PET_dimer_002_mini.yob,2.975,-5.834,YES,3.268,YES,2.912,46.084,undefined,DuraPETase,315,002
resultsDocking_S214H_303_C26-f4354-s42_PET_dimer_017_mini.yob,2.975,-6.419,YES,3.101,YES,2.851,48.46,undefined,S214H,303,017
resultsDocking_TSPETase_315_C187-f2179-s15_PET_dimer_016_mini.yob,2.975,-4.672,NO,3.941,YES,2.842,22.709,undefined,TSPETase,315,016
resultsDocking_TSPETase_315_C344-f5910-s36_PET_dimer_005_mini.yob,2.976,-5.357,YES,3.277,YES,2.854,23.703,undefined,TSPETase,315,005
resultsDocking_WT_315_C405-f4610-s17_PET_dimer_006_mini.yob,2.976,-6.541,YES,3.157,YES,2.898,36.695,undefined,WT,315,006
resultsDocking_S214H_303_C283-f3835-s25_PET_dimer_007_mini.yob,2.976,-5.233,YES,3.112,YES,2.877,41.976,undefined,S214H,303,007
resultsDocking_DuraPETase_315_C58-f663-s19_PET_dimer_008_mini.yob,2.976,-5.269,NO,3.544,YES,2.87,41.177,undefined,DuraPETase,315,008
resultsDocking_S214H_315_C207-f3023-s11_PET_dimer_011_mini.yob,2.976,-5.017,YES,3.353,YES,2.875,36.885,undefined,S214H,315,011
resultsDocking_DuraPETase_303_C172-f1063-s44_PET_dimer_013_mini.yob,2.976,-4.964,YES,3.323,YES,2.92,36.622,undefined,DuraPETase,303,013
resultsDocking_S214H_315_C41-f2834-s26_PET_dimer_002_mini.yob,2.976,-5.067,YES,3.195,YES,2.891,23.77,undefined,S214H,315,002
resultsDocking_S214H_315_C87-f2953-s42_PET_dimer_014_mini.yob,2.977,-5.031,YES,3.272,YES,2.847,26.778,undefined,S214H,315,014
resultsDocking_DuraPETase_303_C43-f1079-s48_PET_dimer_012_mini.yob,2.977,-5.99,YES,3.409,YES,2.956,21.294,undefined,DuraPETase,303,012
resultsDocking_DuraPETase_303_C45-f899-s29_PET_dimer_008_mini.yob,2.977,-5.226,NO,3.409,YES,2.895,32.574,undefined,DuraPETase,303,008
resultsDocking_TSPETase_315_C279-f6634-s38_PET_dimer_015_mini.yob,2.977,-4.466,NO,4.324,YES,2.846,29.22,undefined,TSPETase,315,015
resultsDocking_WT_303_C447-f4650-s20_PET_dimer_014_mini.yob,2.977,-4.603,NO,4.313,NO,5.915,26.294,undefined,WT,303,014
resultsDocking_DuraPETase_303_C153-f789-s22_PET_dimer_008_mini.yob,2.977,-5.212,YES,3.106,YES,2.856,44.485,undefined,DuraPETase,303,008
resultsDocking_DuraPETase_303_C225-f3247-s25_PET_dimer_006_mini.yob,2.977,-4.942,YES,3.128,YES,2.955,25.757,undefined,DuraPETase,303,006
resultsDocking_TSPETase_303_C108-f418-s23_PET_dimer_016_mini.yob,2.977,-5.098,NO,3.656,YES,2.808,38.396,undefined,TSPETase,303,016
resultsDocking_TSPETase_315_C345-f4895-s16_PET_dimer_007_mini.yob,2.978,-4.71,NO,3.542,YES,2.803,20.576,undefined,TSPETase,315,007
resultsDocking_S214H_303_C175-f6462-s31_PET_dimer_004_mini.yob,2.978,-6.05,YES,3.328,YES,2.858,59.473,gauche,S214H,303,004
resultsDocking_DuraPETase_303_C66-f6008-s31_PET_dimer_010_mini.yob,2.978,-5.048,NO,3.601,YES,2.89,35.258,undefined,DuraPETase,303,010
resultsDocking_DuraPETase_315_C58-f663-s19_PET_dimer_014_mini.yob,2.978,-5.023,YES,3.359,YES,2.867,3.413,undefined,DuraPETase,315,014
resultsDocking_TSPETase_303_C105-f6036-s35_PET_dimer_002_mini.yob,2.978,-6.504,YES,3.304,YES,2.817,74.462,gauche,TSPETase,303,002
resultsDocking_DuraPETase_315_C58-f663-s19_PET_dimer_017_mini.yob,2.978,-4.911,NO,4.05,YES,2.822,5.847,undefined,DuraPETase,315,017
resultsDocking_S214H_303_C90-f8787-s17_PET_dimer_017_mini.yob,2.978,-5.609,YES,3.104,YES,2.828,33.387,undefined,S214H,303,017
resultsDocking_S214H_303_C161-f5600-s44_PET_dimer_001_mini.yob,2.978,-5.55,NO,4.069,YES,2.933,6.336,undefined,S214H,303,001
resultsDocking_WT_303_C290-f3876-s18_PET_dimer_007_mini.yob,2.978,-6.598,YES,3.086,YES,2.94,66.995,gauche,WT,303,007
resultsDocking_DuraPETase_303_C174-f5683-s11_PET_dimer_011_mini.yob,2.978,-4.698,YES,3.182,YES,2.879,44.179,undefined,DuraPETase,303,011
resultsDocking_DuraPETase_303_C84-f1437-s34_PET_dimer_003_mini.yob,2.979,-6.777,YES,3.061,YES,2.919,10.809,undefined,DuraPETase,303,003
resultsDocking_WT_315_C26-f7503-s20_PET_dimer_007_mini.yob,2.979,-4.579,YES,3.069,YES,2.78,32.282,undefined,WT,315,007
resultsDocking_S214H_315_C87-f2953-s42_PET_dimer_005_mini.yob,2.979,-5.237,NO,3.629,YES,2.887,39.969,undefined,S214H,315,005
resultsDocking_S214H_315_C92-f3016-s44_PET_dimer_008_mini.yob,2.979,-4.988,YES,2.905,YES,2.831,84.61,gauche,S214H,315,008
