STRUCTURE,DISTANCE_SER,ENERGY,MET,DISTANCE_MET,TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,VARIANT,TEMPERATURE,DOCKING
resultsDocking_S214H_303_C274-f3685-s31_PET_dimer_008_mini.yob,2.888,-5.992,NO,3.749,YES,2.836,22.05,undefined,S214H,303,008
resultsDocking_DuraPETase_303_C178-f1664-s26_PET_dimer_004_mini.yob,2.888,-5.647,YES,3.191,YES,2.868,42.838,undefined,DuraPETase,303,004
resultsDocking_WT_315_C97-f5186-s38_PET_dimer_016_mini.yob,2.889,-6.246,YES,3.13,YES,2.905,26.389,undefined,WT,315,016
resultsDocking_DuraPETase_303_C188-f3417-s23_PET_dimer_004_mini.yob,2.889,-5.817,YES,3.071,YES,2.834,39.879,undefined,DuraPETase,303,004
resultsDocking_DuraPETase_303_C178-f1664-s26_PET_dimer_006_mini.yob,2.889,-5.511,YES,3.199,YES,2.868,45.137,undefined,DuraPETase,303,006
resultsDocking_DuraPETase_303_C115-f4794-s61_PET_dimer_018_mini.yob,2.89,-6.323,YES,3.396,YES,2.849,16.182,undefined,DuraPETase,303,018
resultsDocking_S214H_315_C79-f3232-s27_PET_dimer_002_mini.yob,2.891,-6.852,YES,2.914,YES,2.876,63.683,gauche,S214H,315,002
resultsDocking_DuraPETase_303_C157-f6716-s32_PET_dimer_009_mini.yob,2.891,-4.958,YES,3.224,YES,2.853,27.894,undefined,DuraPETase,303,009
resultsDocking_WT_315_C97-f5186-s38_PET_dimer_017_mini.yob,2.891,-6.174,YES,3.428,YES,2.852,32.307,undefined,WT,315,017
resultsDocking_WT_303_C236-f4111-s28_PET_dimer_010_mini.yob,2.892,-4.981,YES,3.229,YES,2.88,17.711,undefined,WT,303,010
resultsDocking_TSPETase_315_C314-f1997-s14_PET_dimer_002_mini.yob,2.893,-6.273,YES,3.355,YES,2.883,16.843,undefined,TSPETase,315,002
resultsDocking_TSPETase_303_C295-f5245-s34_PET_dimer_002_mini.yob,2.893,-5.358,YES,3.205,YES,2.807,17.171,undefined,TSPETase,303,002
resultsDocking_WT_303_C335-f3885-s16_PET_dimer_007_mini.yob,2.893,-6.501,YES,3.082,YES,2.95,24.935,undefined,WT,303,007
resultsDocking_S214H_315_C67-f3320-s61_PET_dimer_015_mini.yob,2.894,-4.974,NO,3.522,YES,2.801,32.123,undefined,S214H,315,015
resultsDocking_TSPETase_303_C266-f5247-s35_PET_dimer_012_mini.yob,2.894,-5.029,YES,3.142,YES,2.833,44.645,undefined,TSPETase,303,012
resultsDocking_DuraPETase_303_C14-f156-s24_PET_dimer_001_mini.yob,2.894,-5.565,YES,3.356,YES,2.881,43.572,undefined,DuraPETase,303,001
resultsDocking_TSPETase_315_C279-f6634-s38_PET_dimer_016_mini.yob,2.895,-4.394,YES,3.015,YES,2.807,37.201,undefined,TSPETase,315,016
resultsDocking_DuraPETase_303_C183-f3628-s32_PET_dimer_013_mini.yob,2.895,-5.016,YES,3.162,YES,2.852,40.034,undefined,DuraPETase,303,013
resultsDocking_TSPETase_303_C266-f5247-s35_PET_dimer_007_mini.yob,2.895,-5.182,YES,3.054,YES,2.825,26.558,undefined,TSPETase,303,007
resultsDocking_DuraPETase_303_C157-f6716-s32_PET_dimer_010_mini.yob,2.895,-4.937,YES,3.173,YES,2.847,41.425,undefined,DuraPETase,303,010
resultsDocking_DuraPETase_303_C72-f1419-s37_PET_dimer_011_mini.yob,2.895,-4.788,YES,3.258,YES,2.886,33.465,undefined,DuraPETase,303,011
resultsDocking_S214H_303_C167-f7389-s45_PET_dimer_008_mini.yob,2.897,-4.928,YES,3.15,YES,2.923,88.239,gauche,S214H,303,008
resultsDocking_DuraPETase_315_C62-f787-s16_PET_dimer_012_mini.yob,2.897,-4.946,NO,3.481,YES,2.936,17.325,undefined,DuraPETase,315,012
resultsDocking_DuraPETase_303_C126-f1616-s49_PET_dimer_012_mini.yob,2.898,-6.491,YES,3.317,YES,2.871,34.587,undefined,DuraPETase,303,012
resultsDocking_DuraPETase_303_C48-f52-s14_PET_dimer_001_mini.yob,2.898,-5.913,YES,3.089,YES,2.832,39.611,undefined,DuraPETase,303,001
resultsDocking_TSPETase_303_C259-f7170-s21_PET_dimer_010_mini.yob,2.898,-5.047,NO,3.383,YES,2.878,38.328,undefined,TSPETase,303,010
resultsDocking_DuraPETase_303_C145-f4499-s54_PET_dimer_005_mini.yob,2.898,-6.966,YES,3.308,YES,2.938,28.164,undefined,DuraPETase,303,005
resultsDocking_DuraPETase_303_C48-f52-s14_PET_dimer_003_mini.yob,2.898,-5.784,YES,3.114,YES,2.934,43.026,undefined,DuraPETase,303,003
resultsDocking_DuraPETase_303_C66-f6008-s31_PET_dimer_009_mini.yob,2.898,-5.18,YES,3.359,YES,2.946,38.731,undefined,DuraPETase,303,009
resultsDocking_DuraPETase_303_C136-f2416-s34_PET_dimer_005_mini.yob,2.898,-5.426,YES,3.132,YES,2.81,38.766,undefined,DuraPETase,303,005
resultsDocking_DuraPETase_303_C20-f6850-s48_PET_dimer_003_mini.yob,2.899,-5.637,YES,3.255,YES,2.837,25.042,undefined,DuraPETase,303,003
resultsDocking_TSPETase_315_C315-f4926-s21_PET_dimer_008_mini.yob,2.899,-4.879,YES,3.313,YES,2.824,31.977,undefined,TSPETase,315,008
resultsDocking_DuraPETase_303_C144-f2426-s28_PET_dimer_007_mini.yob,2.9,-5.052,YES,3.409,YES,2.879,19.352,undefined,DuraPETase,303,007
resultsDocking_DuraPETase_303_C143-f2685-s45_PET_dimer_005_mini.yob,2.9,-5.439,YES,3.281,YES,2.838,32.882,undefined,DuraPETase,303,005
resultsDocking_WT_303_C447-f4650-s20_PET_dimer_013_mini.yob,2.9,-4.616,YES,3.306,YES,2.836,36.896,undefined,WT,303,013
resultsDocking_DuraPETase_303_C137-f1012-s25_PET_dimer_007_mini.yob,2.901,-6.517,YES,3.132,YES,2.87,45.174,undefined,DuraPETase,303,007
resultsDocking_WT_315_C94-f658-s16_PET_dimer_004_mini.yob,2.901,-5.366,YES,3.009,YES,2.802,38.23,undefined,WT,315,004
resultsDocking_DuraPETase_303_C176-f5726-s17_PET_dimer_014_mini.yob,2.901,-6.135,YES,3.088,YES,2.92,22.839,undefined,DuraPETase,303,014
resultsDocking_TSPETase_303_C139-f8977-s30_PET_dimer_008_mini.yob,2.902,-5.562,YES,3.057,YES,2.85,43.311,undefined,TSPETase,303,008
