FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
0,NO,2.399,YES,1.772,3.371,-6.61,NO,3.756,YES,2.824,64.438,GAUCHE,-146.27,-76.575,-126.009,S214H_dimer_validated_mini00000.yob
1,NO,2.917,YES,1.802,3.651,-6.61,NO,4.048,YES,2.808,77.989,GAUCHE,-147.095,-75.744,-109.721,S214H_dimer_validated_mini00001.yob
2,NO,1.966,YES,1.783,3.312,-6.61,NO,3.628,YES,2.766,59.28,GAUCHE,-125.127,-84.306,-116.248,S214H_dimer_validated_mini00002.yob
3,NO,3.204,YES,1.741,3.869,-6.61,NO,4.783,YES,3.213,73.798,GAUCHE,-152.253,-70.251,-119.891,S214H_dimer_validated_mini00003.yob
4,NO,3.172,YES,1.73,3.562,-6.61,NO,4.732,YES,2.946,68.573,GAUCHE,-156.422,-82.215,-147.64,S214H_dimer_validated_mini00004.yob
5,YES,1.998,YES,1.782,3.188,-6.61,NO,3.62,YES,2.78,65.017,GAUCHE,-163.105,-84.611,-129.173,S214H_dimer_validated_mini00005.yob
6,YES,2.089,YES,1.699,3.33,-6.61,NO,3.631,YES,2.991,55.454,GAUCHE,-147.608,-73.643,-116.974,S214H_dimer_validated_mini00006.yob
7,YES,2.021,YES,1.68,3.382,-6.61,NO,3.559,YES,3.032,78.662,GAUCHE,-131.64,-81.35,-125.318,S214H_dimer_validated_mini00007.yob
8,YES,2.108,YES,1.72,3.241,-6.61,NO,3.712,YES,2.789,68.144,GAUCHE,-141.943,-78.364,-117.639,S214H_dimer_validated_mini00008.yob
9,YES,2.184,YES,1.901,3.084,-6.61,YES,3.34,YES,2.752,72.175,GAUCHE,-140.028,-87.307,-114.142,S214H_dimer_validated_mini00009.yob
10,YES,1.933,YES,1.723,2.974,-6.61,NO,3.685,YES,2.723,92.486,UNDEFINED,-144.06,-77.923,-115.288,S214H_dimer_validated_mini00010.yob
11,YES,2.024,YES,1.765,3.273,-6.61,NO,4.028,YES,3.017,74.072,GAUCHE,-132.159,-75.652,-133.567,S214H_dimer_validated_mini00011.yob
12,NO,3.693,YES,1.793,3.565,-6.61,NO,4.927,NO,3.155,92.8,UNDEFINED,-150.225,-81.292,-118.018,S214H_dimer_validated_mini00012.yob
13,NO,2.378,YES,1.71,3.483,-6.61,NO,4.22,YES,2.998,93.873,UNDEFINED,-142.124,-69.344,-140.678,S214H_dimer_validated_mini00013.yob
14,NO,2.638,YES,1.786,3.529,-6.61,NO,4.432,YES,2.825,61.834,GAUCHE,-146.626,-67.521,-127.768,S214H_dimer_validated_mini00014.yob
15,YES,2.25,YES,1.734,3.682,-6.61,NO,4.214,YES,2.88,57.559,GAUCHE,-150.728,-79.027,-154.3,S214H_dimer_validated_mini00015.yob
16,NO,2.549,YES,1.763,3.569,-6.61,NO,4.045,YES,2.857,57.236,GAUCHE,-161.131,-77.834,-123.695,S214H_dimer_validated_mini00016.yob
17,YES,2.109,YES,1.831,3.605,-6.61,NO,4.083,YES,2.92,80.144,GAUCHE,-155.389,-79.811,-114.7,S214H_dimer_validated_mini00017.yob
18,YES,1.817,YES,1.789,3.525,-6.61,NO,4.186,YES,2.891,55.673,GAUCHE,-154.991,-80.192,-128.256,S214H_dimer_validated_mini00018.yob
