FRAME,DIHEDROS
0,71.518
1,75.618
2,83.762
3,75.786
4,75.092
5,59.762
6,91.92
7,85.129
8,78.032
9,67.442
10,72.668
11,95.654
12,84.821
13,89.541
14,79.79
15,89.032
16,71.771
17,63.267
18,117.394
19,157.29
20,-147.191
21,-117.623
22,-138.462
23,-112.697
24,-138.267
25,-111.325
26,-107.61
27,-127.078
28,-138.106
29,-132.444
30,-134.667
31,-140.565
32,-116.722
33,-140.662
34,-126.64
35,-116.869
36,-134.789
37,-113.666
38,-139.287
39,-114.598
40,-104.253
41,-122.029
42,-120.837
43,-108.741
44,-142.977
45,-125.416
46,-128.105
47,-124.32
48,-108.679
49,-109.826
50,-114.058
51,-124.041
52,-121.225
53,-116.908
54,-97.371
55,-108.934
56,-114.17
57,-127.588
58,-132.328
59,-129.076
60,-141.037
61,-137.094
62,-115.067
63,-125.227
64,-120.432
65,-113.831
66,-121.424
67,-138.195
68,-122.586
69,-113.093
70,-118.483
71,-113.005
72,-110.109
73,-148.252
74,-119.821
75,-141.783
76,-117.399
77,-121.109
78,-124.322
79,-112.075
80,-137.947
81,-114.562
82,-131.947
83,-131.576
84,-98.573
85,-126.343
86,-128.563
87,-120.475
88,-109.48
89,-116.076
90,-138.731
91,-134.555
92,-106.99
93,-122.954
94,-131.976
95,-130.626
96,-111.032
97,-121.088
98,-120.473
99,-122.44
100,-102.289
101,-125.234
102,-116.001
103,-131.205
104,-134.546
105,-112.039
106,-139.357
107,-132.345
108,-115.13
109,-141.398
110,-119.006
111,-141.738
112,-120.852
113,-104.751
114,-128.314
115,-155.263
116,-122.673
117,-109.663
118,-112.906
119,-111.6
120,-111.899
121,-108.771
122,-95.041
123,-121.604
124,-107.681
125,-108.191
126,-107.323
127,-127.964
128,-117.235
129,-124.407
130,-132.526
131,-138.879
132,-144.915
133,-130.272
134,-109.257
135,-128.438
136,-124.555
137,-131.88
138,-123.079
139,-117.367
140,-119.466
141,-139.261
142,-126.997
143,-125.433
144,-122.449
145,-130.85
146,-131.124
147,-111.521
148,-112.702
149,-133.332
150,-108.057
151,-114.621
152,-113.887
153,-116.707
154,-145.073
155,-112.625
156,-130.941
157,-116.871
158,-132.524
159,-117.323
160,-120.222
161,-117.55
162,-128.139
163,-125.65
164,-126.582
165,-119.569
166,-119.604
167,-143.795
168,-134.038
169,-118.283
170,-117.137
171,-127.498
172,-109.612
173,-119.493
174,-105.643
175,-107.078
176,-136.391
177,-125.523
178,-119.541
179,-117.334
180,-121.495
181,-122.901
182,-133.105
183,-144.03
184,-129.799
185,-100.112
186,-108.496
187,-119.28
188,-126.588
189,-109.712
190,-122.249
191,-126.907
192,-126.65
193,-109.841
194,-123.257
195,-112.001
196,-112.316
197,-137.028
198,-121.067
199,-111.718
200,-145.743
201,-147.119
202,-116.722
203,-140.566
204,-139.222
205,-129.952
206,-130.993
207,-110.948
208,-115.271
209,-107.344
210,-112.353
211,-116.771
212,-114.076
213,-124.093
214,-112.321
215,-129.63
216,-125.235
217,-140.234
218,-116.627
219,-151.405
220,-126.6
221,-124.651
222,-124.046
223,-126.067
224,-116.598
225,-127.491
226,-115.066
227,-118.646
228,-107.926
229,-115.58
230,-127.067
231,-117.721
232,-128.859
233,-131.21
234,-122.286
235,-113.18
236,-126.779
237,-115.891
238,-142.057
239,-119.46
240,-129.035
241,-129.046
242,-122.924
243,-110.508
244,-127.675
245,-118.991
246,-130.116
247,-114.436
248,-128.068
249,-111.345
250,-129.941
251,-107.676
252,-117.978
253,-127.351
254,-113.687
255,-98.659
256,-115.369
257,-136.855
258,-121.149
259,-117.399
260,-120.035
261,-135.399
262,-142.34
263,-113.74
264,-111.085
265,-112.764
266,-135.422
267,-144.501
268,-116.326
269,-131.417
270,-105.013
271,-125.271
272,-116.604
273,-123.544
274,-116.436
275,-133.727
276,-107.855
277,-118.412
278,-112.796
279,-129.659
280,-128.71
281,-120.229
282,-102.005
283,-113.095
284,-108.999
285,-119.83
286,-108.758
287,-122.686
288,-155.515
289,-91.917
290,-101.646
291,-113.454
292,-137.508
293,-113.267
294,-130.352
295,-123.256
296,-128.087
297,-111.501
298,-140.616
299,-123.503
300,-120.861
301,-126.595
302,-156.978
303,-97.854
304,-102.844
305,-115.359
306,-138.403
307,-123.023
308,-141.007
309,-133.15
310,-127.301
311,-124.736
312,-128.709
313,-129.549
314,-119.887
315,-114.387
316,-129.422
317,-118.897
318,-122.694
319,-116.124
320,-115.323
321,-132.007
322,-128.039
323,-135.408
324,-122.99
325,-128.778
326,-128.581
327,-133.605
328,-110.836
329,-129.449
330,-123.194
331,-129.829
332,-116.717
333,-112.681
334,-135.475
335,-138.586
336,-131.793
337,-129.286
338,-119.458
339,-121.531
340,-138.237
341,-119.281
342,-101.814
343,-142.664
344,-140.758
345,-125.697
346,-119.103
347,-121.777
348,-125.685
349,-141.018
350,-104.027
351,-105.485
352,-143.602
353,-111.322
354,-159.905
355,-134.146
356,-103.778
357,-127.381
358,-102.031
359,-99.834
360,-101.481
361,-115.322
362,-116.315
363,-111.94
364,-127.405
365,-126.882
366,-114.387
367,-127.939
368,-115.017
369,-141.459
370,-134.51
371,-119.5
372,-140.535
373,-127.693
374,-131.099
375,-139.03
376,-128.773
377,-105.96
378,-120.715
379,-116.283
380,-146.636
381,-126.323
382,-109.93
383,-119.468
384,-129.299
385,-115.035
386,-120.322
387,-118.994
388,-122.755
389,-123.199
390,-120.128
391,-114.799
392,-131.793
393,-109.456
394,-98.629
395,-137.715
396,-105.697
397,-107.701
398,-120.593
399,-126.335
400,-127.931
401,-141.327
402,-130.064
403,-117.056
404,-141.378
405,-122.721
406,-136.818
407,-112.916
408,-125.935
409,-130.723
410,-117.629
411,-111.705
412,-131.072
413,-147.592
414,-121.575
415,-142.94
416,-120.441
417,-135.099
418,-138.328
419,-135.473
420,-97.137
421,-136.943
422,-141.947
423,-130.826
424,-123.642
425,-117.519
426,-113.55
427,-116.003
428,-116.62
429,-122.33
430,-130.67
431,-145.843
432,-109.973
433,-128.998
434,-133.731
435,-132.541
436,-121.863
437,-124.706
438,-122.051
439,-133.495
440,-129.968
441,-120.321
442,-102.696
443,-132.881
444,-112.131
445,-119.791
446,-103.879
447,-115.85
448,-129.26
449,-116.224
450,-122.298
451,-114.183
452,-116.361
453,-128.87
454,-112.045
455,-101.502
456,-118.877
457,-111.658
458,-115.562
459,-127.786
