FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
0,NO,2.519,YES,1.837,3.048,-5.35,YES,3.444,YES,2.831,82.87,GAUCHE,79.396,-87.196,-134.475,DuraPETase_dimer_validated_mini00000.yob
1,NO,2.509,YES,1.965,3.062,-5.35,NO,3.577,YES,2.968,66.28,GAUCHE,41.095,-78.202,-120.28,DuraPETase_dimer_validated_mini00001.yob
2,NO,2.638,YES,1.761,3.322,-5.35,NO,4.006,YES,2.838,79.774,GAUCHE,68.187,-68.135,-119.244,DuraPETase_dimer_validated_mini00002.yob
3,NO,3.944,YES,1.897,3.443,-5.35,NO,4.575,YES,2.899,68.983,GAUCHE,61.744,-67.241,-114.747,DuraPETase_dimer_validated_mini00003.yob
4,YES,1.796,YES,1.663,3.041,-5.35,NO,3.65,YES,2.804,50.061,GAUCHE,52.371,-85.503,-131.835,DuraPETase_dimer_validated_mini00004.yob
5,YES,2.068,YES,1.76,3.137,-5.35,NO,3.572,YES,2.833,73.739,GAUCHE,61.418,-90.932,-136.099,DuraPETase_dimer_validated_mini00005.yob
6,YES,2.053,YES,1.768,3.713,-5.35,NO,4.575,YES,3.002,69.289,GAUCHE,62.31,-67.02,-132.366,DuraPETase_dimer_validated_mini00006.yob
7,YES,2.309,NO,1.985,3.258,-5.35,NO,3.835,YES,2.854,76.449,GAUCHE,71.595,-87.398,-125.0,DuraPETase_dimer_validated_mini00007.yob
8,NO,2.84,YES,1.766,3.582,-5.35,NO,4.313,NO,3.152,46.9,UNDEFINED,89.862,-74.7,-120.794,DuraPETase_dimer_validated_mini00008.yob
9,NO,3.23,YES,1.74,3.379,-5.35,NO,3.678,YES,2.848,69.148,GAUCHE,89.903,-82.396,-114.709,DuraPETase_dimer_validated_mini00009.yob
10,YES,1.851,YES,1.736,3.056,-5.35,NO,3.614,YES,2.976,60.953,GAUCHE,50.101,-83.946,-118.884,DuraPETase_dimer_validated_mini00010.yob
11,NO,2.448,YES,1.918,3.301,-5.35,NO,3.593,YES,2.884,56.851,GAUCHE,50.707,-81.416,-105.696,DuraPETase_dimer_validated_mini00011.yob
12,NO,3.665,YES,1.66,3.604,-5.35,NO,4.755,NO,3.397,71.832,GAUCHE,78.557,-77.867,-114.832,DuraPETase_dimer_validated_mini00012.yob
13,YES,1.88,YES,1.777,3.316,-5.35,NO,4.179,YES,2.973,54.224,GAUCHE,74.366,-67.804,-127.51,DuraPETase_dimer_validated_mini00013.yob
14,NO,2.565,YES,1.841,3.664,-5.35,NO,4.184,NO,3.639,48.856,UNDEFINED,76.766,-89.001,-118.044,DuraPETase_dimer_validated_mini00014.yob
15,NO,3.972,YES,1.943,3.49,-5.35,NO,4.762,NO,4.914,67.288,GAUCHE,74.436,-81.766,-117.064,DuraPETase_dimer_validated_mini00015.yob
16,NO,3.051,YES,1.843,3.669,-5.35,NO,4.379,YES,3.301,65.622,GAUCHE,62.384,-74.305,-123.969,DuraPETase_dimer_validated_mini00016.yob
17,NO,3.73,YES,1.802,3.944,-5.35,NO,5.018,NO,4.479,49.851,UNDEFINED,78.071,-77.023,-124.867,DuraPETase_dimer_validated_mini00017.yob
18,NO,4.31,NO,2.092,4.595,-5.35,NO,4.415,NO,4.965,61.206,GAUCHE,104.845,-80.071,-117.784,DuraPETase_dimer_validated_mini00018.yob
19,NO,3.738,YES,1.845,4.643,-5.35,NO,4.514,NO,4.255,66.07,GAUCHE,90.105,-52.063,-121.752,DuraPETase_dimer_validated_mini00019.yob
20,NO,3.945,YES,1.829,4.404,-5.35,NO,4.653,NO,4.613,70.403,GAUCHE,67.411,-76.613,-130.813,DuraPETase_dimer_validated_mini00020.yob
21,NO,4.426,YES,1.876,3.618,-5.35,NO,4.43,NO,4.537,79.432,GAUCHE,50.628,-62.416,-121.078,DuraPETase_dimer_validated_mini00021.yob
22,NO,3.075,YES,1.96,3.982,-5.35,NO,4.641,NO,4.557,65.056,GAUCHE,69.52,-82.197,-129.361,DuraPETase_dimer_validated_mini00022.yob
23,NO,4.1,YES,2.018,3.775,-5.35,NO,4.708,NO,4.797,54.179,GAUCHE,70.954,-83.992,-108.991,DuraPETase_dimer_validated_mini00023.yob
24,NO,3.713,YES,1.971,4.358,-5.35,NO,4.373,NO,4.609,46.849,UNDEFINED,80.999,-77.086,-107.708,DuraPETase_dimer_validated_mini00024.yob
25,NO,3.84,YES,1.81,5.132,-5.35,NO,5.173,NO,5.443,81.781,GAUCHE,104.732,-72.375,-130.039,DuraPETase_dimer_validated_mini00025.yob
26,NO,4.17,YES,1.662,4.229,-5.35,NO,4.527,NO,4.683,92.222,UNDEFINED,78.151,-69.979,-116.534,DuraPETase_dimer_validated_mini00026.yob
27,NO,4.255,YES,1.828,4.372,-5.35,NO,4.271,NO,4.079,53.946,GAUCHE,90.635,-80.617,-123.286,DuraPETase_dimer_validated_mini00027.yob
28,NO,3.735,YES,1.695,3.99,-5.35,NO,4.337,NO,4.169,48.98,UNDEFINED,81.739,-70.79,-121.029,DuraPETase_dimer_validated_mini00028.yob
29,NO,3.679,YES,1.712,4.22,-5.35,NO,3.854,NO,4.276,45.027,UNDEFINED,78.285,-74.396,-120.742,DuraPETase_dimer_validated_mini00029.yob
30,NO,3.875,YES,2.044,3.77,-5.35,NO,5.025,NO,4.852,76.59,GAUCHE,57.459,-85.527,-125.039,DuraPETase_dimer_validated_mini00030.yob
31,NO,4.327,YES,1.737,3.8,-5.35,NO,4.126,NO,4.048,44.311,UNDEFINED,51.63,-68.823,-110.989,DuraPETase_dimer_validated_mini00031.yob
32,NO,4.54,YES,1.945,4.286,-5.35,NO,4.103,NO,4.21,73.898,GAUCHE,70.974,-85.851,-120.64,DuraPETase_dimer_validated_mini00032.yob
33,NO,3.672,YES,1.767,3.799,-5.35,NO,4.189,NO,4.061,44.354,UNDEFINED,67.772,-72.505,-112.25,DuraPETase_dimer_validated_mini00033.yob
34,NO,4.011,YES,1.925,3.705,-5.35,NO,4.773,NO,3.19,34.502,UNDEFINED,89.477,-87.398,-108.369,DuraPETase_dimer_validated_mini00034.yob
35,NO,3.905,YES,1.935,3.763,-5.35,NO,4.924,NO,3.619,51.921,GAUCHE,87.169,-76.955,-107.006,DuraPETase_dimer_validated_mini00035.yob
36,NO,4.553,NO,2.161,4.142,-5.35,NO,3.62,NO,4.76,63.099,GAUCHE,72.528,-75.347,-110.06,DuraPETase_dimer_validated_mini00036.yob
37,NO,3.885,YES,1.867,5.409,-5.35,NO,5.032,NO,5.282,71.049,GAUCHE,80.331,-85.471,-127.939,DuraPETase_dimer_validated_mini00037.yob
38,NO,3.783,YES,1.798,4.403,-5.35,NO,4.312,NO,5.014,35.181,UNDEFINED,74.824,-78.353,-120.509,DuraPETase_dimer_validated_mini00038.yob
39,NO,3.533,YES,2.17,4.431,-5.35,NO,4.537,NO,4.652,70.131,GAUCHE,62.42,-85.869,-107.706,DuraPETase_dimer_validated_mini00039.yob
40,NO,3.719,YES,1.714,5.094,-5.35,NO,5.092,NO,5.136,49.479,UNDEFINED,68.947,-73.878,-134.58,DuraPETase_dimer_validated_mini00040.yob
41,NO,3.607,YES,1.916,4.044,-5.35,NO,4.441,NO,4.014,63.19,GAUCHE,66.682,-76.913,-110.339,DuraPETase_dimer_validated_mini00041.yob
42,NO,4.179,YES,1.988,3.675,-5.35,NO,4.498,NO,4.647,63.865,GAUCHE,71.68,-83.806,-125.071,DuraPETase_dimer_validated_mini00042.yob
43,NO,3.561,YES,1.791,4.868,-5.35,NO,5.106,NO,5.109,65.131,GAUCHE,57.333,-82.264,-118.662,DuraPETase_dimer_validated_mini00043.yob
44,NO,3.537,YES,1.691,4.202,-5.35,NO,4.599,NO,4.836,69.661,GAUCHE,75.942,-82.561,-109.819,DuraPETase_dimer_validated_mini00044.yob
45,NO,3.341,YES,1.924,4.29,-5.35,NO,4.616,NO,3.649,46.519,UNDEFINED,91.557,-80.645,-132.394,DuraPETase_dimer_validated_mini00045.yob
46,NO,3.409,NO,2.134,4.666,-5.35,NO,3.862,NO,4.612,57.234,GAUCHE,67.611,-82.535,-112.162,DuraPETase_dimer_validated_mini00046.yob
47,NO,3.78,YES,2.008,4.831,-5.35,NO,3.95,NO,4.702,48.749,UNDEFINED,73.076,-83.183,-114.675,DuraPETase_dimer_validated_mini00047.yob
48,NO,2.831,YES,1.758,4.629,-5.35,NO,4.254,NO,4.228,37.051,UNDEFINED,55.852,-79.623,-91.265,DuraPETase_dimer_validated_mini00048.yob
49,NO,3.996,YES,1.992,3.832,-5.35,NO,3.459,YES,3.263,73.095,GAUCHE,53.47,-76.462,-119.101,DuraPETase_dimer_validated_mini00049.yob
50,NO,4.01,YES,1.782,3.802,-5.35,NO,4.242,NO,3.797,70.954,GAUCHE,69.687,-75.794,-113.38,DuraPETase_dimer_validated_mini00050.yob
51,NO,4.758,YES,1.804,4.08,-5.35,NO,4.0,YES,3.145,78.42,GAUCHE,77.354,-81.84,-116.84,DuraPETase_dimer_validated_mini00051.yob
52,NO,4.745,YES,1.993,3.746,-5.35,YES,3.274,YES,2.985,64.137,GAUCHE,53.378,-65.751,-129.782,DuraPETase_dimer_validated_mini00052.yob
53,NO,4.218,YES,2.021,4.254,-5.35,NO,3.914,NO,3.413,57.32,GAUCHE,77.373,-75.527,-126.72,DuraPETase_dimer_validated_mini00053.yob
54,NO,3.307,YES,1.736,3.822,-5.35,NO,3.39,YES,3.039,68.416,GAUCHE,78.438,-75.492,-109.582,DuraPETase_dimer_validated_mini00054.yob
55,NO,4.915,NO,1.938,4.144,-5.35,NO,3.705,NO,3.662,70.603,GAUCHE,62.614,-71.182,-123.881,DuraPETase_dimer_validated_mini00055.yob
56,NO,3.634,YES,1.815,4.411,-5.35,NO,4.024,NO,4.534,37.261,UNDEFINED,61.62,-83.465,-114.262,DuraPETase_dimer_validated_mini00056.yob
57,NO,4.334,YES,1.828,4.496,-5.35,NO,3.883,NO,3.991,73.566,GAUCHE,57.202,-73.45,-115.685,DuraPETase_dimer_validated_mini00057.yob
58,NO,4.032,YES,1.785,4.192,-5.35,NO,3.611,NO,4.086,62.036,GAUCHE,62.602,-83.838,-99.79,DuraPETase_dimer_validated_mini00058.yob
59,NO,3.45,YES,1.689,5.003,-5.35,NO,4.345,NO,4.436,60.392,GAUCHE,43.602,-87.624,-116.662,DuraPETase_dimer_validated_mini00059.yob
60,NO,4.568,YES,1.782,4.753,-5.35,NO,3.903,NO,4.476,48.505,UNDEFINED,39.428,-69.085,-104.829,DuraPETase_dimer_validated_mini00060.yob
61,NO,3.827,YES,1.877,5.188,-5.35,NO,4.201,NO,4.795,49.976,UNDEFINED,61.205,-76.69,-117.257,DuraPETase_dimer_validated_mini00061.yob
62,NO,2.986,YES,1.922,4.452,-5.35,NO,3.616,NO,4.003,56.63,GAUCHE,69.431,-79.791,-112.162,DuraPETase_dimer_validated_mini00062.yob
63,NO,3.7,YES,1.709,4.649,-5.35,NO,3.98,NO,4.534,71.67,GAUCHE,61.513,-73.218,-107.701,DuraPETase_dimer_validated_mini00063.yob
64,NO,3.672,YES,1.934,4.874,-5.35,NO,4.077,NO,4.984,62.329,GAUCHE,49.626,-76.224,-127.136,DuraPETase_dimer_validated_mini00064.yob
65,NO,3.43,YES,1.92,4.302,-5.35,NO,4.203,NO,4.156,91.518,UNDEFINED,56.304,-77.842,-98.79,DuraPETase_dimer_validated_mini00065.yob
66,NO,3.737,YES,2.016,4.958,-5.35,NO,4.829,NO,4.704,68.639,GAUCHE,65.803,-72.8,-123.477,DuraPETase_dimer_validated_mini00066.yob
67,NO,4.063,YES,1.81,5.054,-5.35,NO,4.44,NO,4.505,64.28,GAUCHE,67.121,-81.013,-114.288,DuraPETase_dimer_validated_mini00067.yob
68,NO,3.431,YES,1.807,4.69,-5.35,NO,4.051,NO,4.459,78.315,GAUCHE,119.717,-78.291,-129.154,DuraPETase_dimer_validated_mini00068.yob
69,NO,3.76,YES,1.773,5.175,-5.35,NO,4.312,NO,4.616,64.735,GAUCHE,-120.649,-76.744,-134.268,DuraPETase_dimer_validated_mini00069.yob
70,NO,3.753,YES,1.91,4.89,-5.35,NO,4.813,NO,5.085,58.047,GAUCHE,-121.374,-81.996,-120.072,DuraPETase_dimer_validated_mini00070.yob
71,NO,3.813,YES,1.674,4.344,-5.35,NO,3.826,NO,4.228,47.927,UNDEFINED,-119.703,-83.521,-122.815,DuraPETase_dimer_validated_mini00071.yob
72,NO,3.727,YES,2.005,4.175,-5.35,NO,4.118,NO,4.209,63.146,GAUCHE,-151.263,-76.749,-95.533,DuraPETase_dimer_validated_mini00072.yob
73,NO,3.787,YES,1.931,4.575,-5.35,NO,4.53,NO,4.615,91.822,UNDEFINED,-107.884,-86.139,-131.979,DuraPETase_dimer_validated_mini00073.yob
74,NO,3.95,YES,1.708,4.525,-5.35,NO,3.889,NO,4.641,70.79,GAUCHE,-96.841,-76.967,-111.732,DuraPETase_dimer_validated_mini00074.yob
75,NO,3.455,NO,1.992,4.209,-5.35,NO,4.046,NO,4.719,113.574,UNDEFINED,-116.689,-73.488,-120.141,DuraPETase_dimer_validated_mini00075.yob
76,NO,4.46,YES,1.707,4.115,-5.35,NO,4.016,NO,4.859,94.718,UNDEFINED,-98.176,-79.634,-133.812,DuraPETase_dimer_validated_mini00076.yob
77,NO,3.614,YES,1.992,4.227,-5.35,NO,3.891,NO,4.935,70.257,GAUCHE,-123.966,-79.756,-126.648,DuraPETase_dimer_validated_mini00077.yob
78,NO,4.119,YES,1.79,4.214,-5.35,NO,4.228,NO,4.353,87.701,GAUCHE,-125.068,-68.324,-111.63,DuraPETase_dimer_validated_mini00078.yob
79,NO,4.261,YES,1.894,4.39,-5.35,NO,4.328,NO,4.655,35.579,UNDEFINED,-126.712,-78.947,-119.313,DuraPETase_dimer_validated_mini00079.yob
80,NO,4.094,YES,1.896,4.12,-5.35,NO,4.109,NO,4.268,38.373,UNDEFINED,-133.372,-87.23,-122.666,DuraPETase_dimer_validated_mini00080.yob
81,NO,3.737,YES,1.738,4.811,-5.35,NO,4.39,NO,4.619,76.217,GAUCHE,-142.619,-85.161,-102.296,DuraPETase_dimer_validated_mini00081.yob
82,NO,4.055,YES,1.812,4.359,-5.35,NO,4.209,NO,4.616,33.897,UNDEFINED,-124.788,-77.253,-118.441,DuraPETase_dimer_validated_mini00082.yob
83,NO,3.713,YES,1.824,4.586,-5.35,NO,4.598,NO,4.489,25.966,UNDEFINED,-151.677,-69.298,-106.732,DuraPETase_dimer_validated_mini00083.yob
84,NO,4.09,YES,1.803,4.645,-5.35,NO,4.497,NO,4.719,69.989,GAUCHE,-144.299,-68.081,-126.934,DuraPETase_dimer_validated_mini00084.yob
85,NO,3.907,YES,2.049,4.539,-5.35,NO,4.375,NO,5.761,41.649,UNDEFINED,-127.667,-77.559,-108.973,DuraPETase_dimer_validated_mini00085.yob
86,NO,3.608,YES,2.03,4.424,-5.35,NO,4.146,NO,4.635,63.392,GAUCHE,-114.884,-78.524,-128.091,DuraPETase_dimer_validated_mini00086.yob
87,NO,3.622,YES,1.797,4.845,-5.35,NO,4.631,NO,5.231,65.292,GAUCHE,-105.51,-75.821,-100.494,DuraPETase_dimer_validated_mini00087.yob
88,NO,3.854,YES,1.628,4.381,-5.35,NO,4.097,NO,4.851,52.793,GAUCHE,-128.738,-76.816,-109.722,DuraPETase_dimer_validated_mini00088.yob
89,NO,4.043,YES,1.911,4.148,-5.35,NO,4.144,NO,4.444,69.231,GAUCHE,-123.962,-76.493,-89.211,DuraPETase_dimer_validated_mini00089.yob
90,NO,3.606,YES,2.056,4.531,-5.35,NO,4.393,NO,4.611,56.508,GAUCHE,-129.114,-81.692,-116.953,DuraPETase_dimer_validated_mini00090.yob
91,NO,3.67,YES,1.792,4.7,-5.35,NO,4.367,NO,4.595,19.562,UNDEFINED,-112.023,-71.906,-126.091,DuraPETase_dimer_validated_mini00091.yob
92,NO,3.926,YES,1.917,4.419,-5.35,NO,4.635,NO,4.48,42.821,UNDEFINED,-143.532,-80.958,-109.021,DuraPETase_dimer_validated_mini00092.yob
93,NO,4.037,YES,1.869,4.444,-5.35,NO,4.577,NO,4.815,57.308,GAUCHE,-134.426,-71.339,-102.655,DuraPETase_dimer_validated_mini00093.yob
94,NO,3.833,YES,1.772,4.704,-5.35,NO,4.136,NO,5.119,26.565,UNDEFINED,-130.79,-88.368,-121.786,DuraPETase_dimer_validated_mini00094.yob
95,NO,3.761,YES,1.758,4.387,-5.35,NO,4.146,NO,4.475,73.863,GAUCHE,-123.791,-80.108,-117.659,DuraPETase_dimer_validated_mini00095.yob
96,NO,3.809,YES,1.891,4.723,-5.35,NO,4.424,NO,4.996,62.605,GAUCHE,-122.405,-81.484,-114.13,DuraPETase_dimer_validated_mini00096.yob
97,NO,3.502,YES,1.757,4.087,-5.35,NO,3.907,NO,4.613,44.968,UNDEFINED,-137.72,-76.915,-114.15,DuraPETase_dimer_validated_mini00097.yob
98,NO,3.751,YES,1.928,4.897,-5.35,NO,4.69,NO,4.685,45.613,UNDEFINED,-149.46,-76.216,-130.414,DuraPETase_dimer_validated_mini00098.yob
99,NO,4.311,YES,1.735,4.205,-5.35,NO,4.041,NO,4.784,53.838,GAUCHE,-140.553,-79.09,-122.707,DuraPETase_dimer_validated_mini00099.yob
100,NO,4.195,YES,1.927,4.34,-5.35,NO,3.926,NO,5.241,44.876,UNDEFINED,-147.983,-82.375,-107.419,DuraPETase_dimer_validated_mini00100.yob
101,NO,3.746,YES,1.971,4.262,-5.35,NO,4.139,NO,4.689,61.544,GAUCHE,-122.876,-79.721,-126.414,DuraPETase_dimer_validated_mini00101.yob
102,NO,4.011,YES,1.776,4.611,-5.35,NO,4.715,NO,4.911,63.641,GAUCHE,-126.961,-74.313,-104.851,DuraPETase_dimer_validated_mini00102.yob
103,NO,4.063,YES,1.869,4.267,-5.35,NO,4.754,NO,5.716,81.821,GAUCHE,-122.151,-81.522,-132.92,DuraPETase_dimer_validated_mini00103.yob
104,NO,3.297,YES,1.99,4.616,-5.35,NO,4.252,NO,5.455,32.122,UNDEFINED,-133.999,-80.665,-128.272,DuraPETase_dimer_validated_mini00104.yob
105,NO,3.8,YES,1.664,4.638,-5.35,NO,4.545,NO,4.379,33.849,UNDEFINED,-113.026,-80.773,-110.046,DuraPETase_dimer_validated_mini00105.yob
106,NO,3.315,YES,1.914,4.819,-5.35,NO,4.624,NO,4.897,23.496,UNDEFINED,-130.592,-101.477,-112.449,DuraPETase_dimer_validated_mini00106.yob
107,NO,3.985,YES,1.986,4.232,-5.35,NO,3.839,NO,4.527,51.436,GAUCHE,-116.295,-77.31,-121.744,DuraPETase_dimer_validated_mini00107.yob
108,NO,4.033,YES,1.844,4.287,-5.35,NO,4.216,NO,5.243,24.783,UNDEFINED,-123.451,-89.655,-112.156,DuraPETase_dimer_validated_mini00108.yob
109,NO,4.375,YES,1.887,4.801,-5.35,NO,4.41,NO,6.2,8.26,UNDEFINED,-131.358,-78.537,-93.383,DuraPETase_dimer_validated_mini00109.yob
110,NO,4.005,YES,1.746,4.182,-5.35,NO,4.435,NO,4.569,51.271,GAUCHE,-138.613,-85.803,-112.388,DuraPETase_dimer_validated_mini00110.yob
111,NO,3.956,NO,1.965,4.499,-5.35,NO,3.95,NO,4.914,18.673,UNDEFINED,-115.116,-86.15,-126.451,DuraPETase_dimer_validated_mini00111.yob
112,NO,3.569,YES,1.896,4.409,-5.35,NO,4.783,NO,4.963,55.79,GAUCHE,-148.407,-82.686,-112.072,DuraPETase_dimer_validated_mini00112.yob
113,NO,3.745,YES,2.129,4.419,-5.35,NO,4.658,NO,4.755,46.681,UNDEFINED,-127.454,-78.061,-132.119,DuraPETase_dimer_validated_mini00113.yob
114,NO,3.978,YES,1.822,5.486,-5.35,NO,6.294,NO,4.635,118.192,UNDEFINED,-132.969,-74.964,-116.975,DuraPETase_dimer_validated_mini00114.yob
115,NO,3.584,YES,2.063,5.131,-5.35,NO,4.975,NO,4.366,116.784,UNDEFINED,-134.854,-81.868,-115.973,DuraPETase_dimer_validated_mini00115.yob
116,NO,4.015,YES,1.818,4.298,-5.35,NO,4.548,NO,4.458,139.533,UNDEFINED,-129.694,-84.945,-113.897,DuraPETase_dimer_validated_mini00116.yob
117,NO,3.72,YES,2.031,5.506,-5.35,NO,6.449,NO,6.587,172.4,TRANS,-119.988,-89.058,-112.608,DuraPETase_dimer_validated_mini00117.yob
118,NO,3.826,YES,1.846,5.834,-5.35,NO,7.072,NO,6.903,172.94,TRANS,-123.487,-74.585,-105.876,DuraPETase_dimer_validated_mini00118.yob
119,NO,3.38,YES,1.925,5.986,-5.35,NO,6.684,NO,6.817,157.819,TRANS,-110.384,-76.659,-116.295,DuraPETase_dimer_validated_mini00119.yob
120,NO,3.877,YES,1.786,5.874,-5.35,NO,7.219,NO,7.169,174.887,TRANS,-114.297,-81.702,-130.724,DuraPETase_dimer_validated_mini00120.yob
121,NO,3.236,YES,1.948,5.889,-5.35,NO,7.675,NO,7.619,175.546,TRANS,-123.528,-74.952,-110.488,DuraPETase_dimer_validated_mini00121.yob
122,NO,4.126,YES,1.793,5.812,-5.35,NO,6.265,NO,6.312,159.158,TRANS,-118.505,-69.934,-100.29,DuraPETase_dimer_validated_mini00122.yob
123,NO,3.691,YES,1.875,6.128,-5.35,NO,6.953,NO,6.998,155.518,TRANS,-120.206,-74.345,-122.22,DuraPETase_dimer_validated_mini00123.yob
124,NO,3.303,YES,1.822,5.046,-5.35,NO,5.459,NO,5.17,161.347,TRANS,-114.49,-73.736,-127.48,DuraPETase_dimer_validated_mini00124.yob
125,NO,3.959,YES,1.84,5.01,-5.35,NO,4.955,NO,4.66,152.606,TRANS,-116.563,-92.678,-128.267,DuraPETase_dimer_validated_mini00125.yob
126,NO,3.544,NO,1.931,4.782,-5.35,NO,4.756,NO,4.358,140.893,UNDEFINED,-135.174,-86.64,-128.137,DuraPETase_dimer_validated_mini00126.yob
127,NO,3.174,YES,2.002,4.137,-5.35,NO,5.032,NO,5.137,145.616,UNDEFINED,-126.781,-79.548,-136.701,DuraPETase_dimer_validated_mini00127.yob
128,NO,3.83,YES,1.837,3.812,-5.35,NO,5.439,NO,4.406,121.485,UNDEFINED,-100.808,-67.762,-138.55,DuraPETase_dimer_validated_mini00128.yob
129,NO,3.05,YES,1.836,3.99,-5.35,NO,5.147,NO,4.229,88.126,GAUCHE,-111.592,-80.777,-133.785,DuraPETase_dimer_validated_mini00129.yob
130,NO,2.909,YES,1.728,3.823,-5.35,NO,5.129,NO,3.917,95.932,UNDEFINED,-106.007,-93.451,-141.683,DuraPETase_dimer_validated_mini00130.yob
131,NO,3.383,YES,1.713,3.767,-5.35,NO,5.073,NO,4.743,137.696,UNDEFINED,-129.214,-78.511,-124.041,DuraPETase_dimer_validated_mini00131.yob
132,NO,4.034,NO,2.075,4.759,-5.35,NO,5.672,NO,5.334,126.699,UNDEFINED,-118.531,-81.721,-119.523,DuraPETase_dimer_validated_mini00132.yob
133,NO,3.996,YES,1.765,4.836,-5.35,NO,4.898,NO,5.088,105.144,UNDEFINED,-123.561,-88.806,-119.495,DuraPETase_dimer_validated_mini00133.yob
134,NO,3.556,YES,1.814,5.039,-5.35,NO,5.261,NO,4.617,69.932,GAUCHE,-116.29,-76.138,-116.675,DuraPETase_dimer_validated_mini00134.yob
135,NO,3.764,YES,1.775,4.538,-5.35,NO,4.432,NO,4.596,89.126,GAUCHE,-136.921,-69.532,-116.448,DuraPETase_dimer_validated_mini00135.yob
136,NO,3.726,YES,1.871,4.63,-5.35,NO,4.72,NO,5.524,54.926,GAUCHE,-125.391,-82.392,-145.181,DuraPETase_dimer_validated_mini00136.yob
137,NO,4.318,YES,1.871,4.767,-5.35,NO,4.381,NO,4.862,91.591,UNDEFINED,-110.149,-83.214,-125.398,DuraPETase_dimer_validated_mini00137.yob
138,NO,3.464,YES,1.846,5.334,-5.35,NO,5.875,NO,4.497,87.117,GAUCHE,-103.532,-77.334,-123.45,DuraPETase_dimer_validated_mini00138.yob
139,NO,3.857,YES,1.953,4.51,-5.35,NO,4.715,NO,4.852,103.45,UNDEFINED,-120.287,-87.373,-128.279,DuraPETase_dimer_validated_mini00139.yob
140,NO,3.629,YES,1.924,5.35,-5.35,NO,5.12,NO,4.499,152.967,TRANS,-122.354,-81.376,-127.584,DuraPETase_dimer_validated_mini00140.yob
141,NO,3.727,YES,1.738,5.324,-5.35,NO,6.04,NO,5.221,177.497,TRANS,-113.927,-75.419,-116.84,DuraPETase_dimer_validated_mini00141.yob
142,NO,3.496,YES,1.82,6.296,-5.35,NO,6.115,NO,5.359,171.821,TRANS,-134.278,-77.743,-137.159,DuraPETase_dimer_validated_mini00142.yob
143,NO,3.776,YES,1.651,5.982,-5.35,NO,6.946,NO,5.688,156.098,TRANS,-122.821,-85.014,-117.291,DuraPETase_dimer_validated_mini00143.yob
144,NO,3.428,YES,1.838,6.829,-5.35,NO,7.757,NO,7.264,177.132,TRANS,-126.493,-69.158,-125.873,DuraPETase_dimer_validated_mini00144.yob
