FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
36,NO,3.327,YES,1.758,3.771,-5.44,NO,4.853,NO,3.522,48.967,UNDEFINED,-161.599,-81.972,-109.485,WT_Dimer_validated_mini00036.yob
37,YES,1.989,YES,1.864,4.315,-5.44,NO,5.6,YES,3.121,28.757,UNDEFINED,-148.41,-76.869,-123.164,WT_Dimer_validated_mini00037.yob
38,NO,3.059,YES,1.864,3.566,-5.44,NO,4.998,NO,3.471,59.289,GAUCHE,-152.864,-85.507,-94.155,WT_Dimer_validated_mini00038.yob
39,YES,1.875,YES,1.737,3.316,-5.44,NO,3.701,YES,2.894,32.189,UNDEFINED,-158.437,-89.968,-116.129,WT_Dimer_validated_mini00039.yob
40,NO,3.206,YES,1.834,3.914,-5.44,NO,5.087,NO,3.62,35.432,UNDEFINED,-135.968,-71.819,-133.533,WT_Dimer_validated_mini00040.yob
41,NO,3.647,YES,1.707,3.913,-5.44,NO,5.232,NO,4.258,50.6,GAUCHE,-141.34,-84.014,-102.711,WT_Dimer_validated_mini00041.yob
42,NO,3.14,YES,1.834,3.827,-5.44,NO,5.003,NO,3.09,37.749,UNDEFINED,-136.402,-71.739,-119.749,WT_Dimer_validated_mini00042.yob
43,NO,3.473,YES,1.82,4.024,-5.44,NO,5.78,NO,4.046,40.728,UNDEFINED,-153.377,-70.757,-120.6,WT_Dimer_validated_mini00043.yob
44,YES,2.413,YES,1.974,3.968,-5.44,NO,5.243,YES,3.282,51.878,GAUCHE,-150.754,-65.715,-140.846,WT_Dimer_validated_mini00044.yob
45,NO,3.164,YES,1.894,3.912,-5.44,NO,5.376,NO,3.691,42.036,UNDEFINED,-138.949,-85.956,-113.109,WT_Dimer_validated_mini00045.yob
46,NO,3.377,YES,1.744,4.107,-5.44,NO,5.146,NO,3.043,58.134,GAUCHE,-151.991,-72.814,-113.629,WT_Dimer_validated_mini00046.yob
47,NO,3.921,YES,1.908,4.056,-5.44,NO,5.307,NO,3.649,36.418,UNDEFINED,-135.653,-71.95,-104.217,WT_Dimer_validated_mini00047.yob
48,NO,3.945,YES,1.931,3.792,-5.44,NO,4.95,NO,3.671,43.894,UNDEFINED,-161.154,-85.844,-125.117,WT_Dimer_validated_mini00048.yob
49,NO,3.66,YES,1.686,3.726,-5.44,NO,5.573,NO,3.84,49.268,UNDEFINED,-157.095,-81.999,-114.525,WT_Dimer_validated_mini00049.yob
50,NO,4.015,YES,1.696,3.94,-5.44,NO,4.898,NO,3.575,47.364,UNDEFINED,-157.396,-71.522,-117.768,WT_Dimer_validated_mini00050.yob
51,NO,2.913,YES,1.936,3.879,-5.44,NO,5.19,NO,4.004,39.049,UNDEFINED,-162.86,-76.257,-113.622,WT_Dimer_validated_mini00051.yob
52,NO,3.508,YES,1.844,3.781,-5.44,NO,5.284,NO,3.549,42.931,UNDEFINED,-155.437,-79.334,-117.729,WT_Dimer_validated_mini00052.yob
53,NO,3.088,NO,2.101,3.901,-5.44,NO,5.001,YES,3.371,62.384,GAUCHE,-137.077,-80.807,-129.528,WT_Dimer_validated_mini00053.yob
54,YES,1.828,YES,1.934,3.846,-5.44,NO,4.826,YES,2.868,53.085,GAUCHE,-152.813,-68.026,-132.636,WT_Dimer_validated_mini00054.yob
55,NO,4.128,YES,1.688,3.71,-5.44,NO,5.317,NO,3.497,47.35,UNDEFINED,-150.83,-81.83,-128.224,WT_Dimer_validated_mini00055.yob
56,NO,3.702,YES,1.822,3.715,-5.44,NO,5.478,NO,4.134,60.948,GAUCHE,-144.088,-97.76,-110.572,WT_Dimer_validated_mini00056.yob
57,NO,2.866,YES,1.982,3.76,-5.44,NO,4.706,YES,2.808,61.115,GAUCHE,-143.987,-79.088,-107.643,WT_Dimer_validated_mini00057.yob
